Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,Mr,0,22.0,1,0,7.25,,S
1,1,Mrs,1,38.0,1,0,71.2833,C,C
1,3,Miss,1,26.0,0,0,7.925,,S
1,1,Mrs,1,35.0,1,0,53.1,C,S
0,3,Mr,0,35.0,0,0,8.05,,S
0,3,Mr,0,,0,0,8.4583,,Q
0,1,Mr,0,54.0,0,0,51.8625,E,S
0,3,Master,0,2.0,3,1,21.075,,S
1,3,Mrs,1,27.0,0,2,11.1333,,S
1,2,Mrs,1,14.0,1,0,30.0708,,C
1,3,Miss,1,4.0,1,1,16.7,G,S
1,1,Miss,1,58.0,0,0,26.55,C,S
0,3,Mr,0,20.0,0,0,8.05,,S
0,3,Mr,0,39.0,1,5,31.275,,S
0,3,Miss,1,14.0,0,0,7.8542,,S
1,2,Mrs,1,55.0,0,0,16.0,,S
0,3,Master,0,2.0,4,1,29.125,,Q
1,2,Mr,0,,0,0,13.0,,S
0,3,Mrs,1,31.0,1,0,18.0,,S
1,3,Mrs,1,,0,0,7.225,,C
0,2,Mr,0,35.0,0,0,26.0,,S
1,2,Mr,0,34.0,0,0,13.0,D,S
1,3,Miss,1,15.0,0,0,8.0292,,Q
1,1,Mr,0,28.0,0,0,35.5,A,S
0,3,Miss,1,8.0,3,1,21.075,,S
1,3,Mrs,1,38.0,1,5,31.3875,,S
0,3,Mr,0,,0,0,7.225,,C
0,1,Mr,0,19.0,3,2,263.0,C,S
1,3,Miss,1,,0,0,7.8792,,Q
0,3,Mr,0,,0,0,7.8958,,S
0,1,Nobility,0,40.0,0,0,27.7208,,C
1,1,Mrs,1,,1,0,146.5208,B,C
1,3,Miss,1,,0,0,7.75,,Q
0,2,Mr,0,66.0,0,0,10.5,,S
0,1,Mr,0,28.0,1,0,82.1708,,C
0,1,Mr,0,42.0,1,0,52.0,,S
1,3,Mr,0,,0,0,7.2292,,C
0,3,Mr,0,21.0,0,0,8.05,,S
0,3,Miss,1,18.0,2,0,18.0,,S
1,3,Miss,1,14.0,1,0,11.2417,,C
0,3,Mrs,1,40.0,1,0,9.475,,S
0,2,Mrs,1,27.0,1,0,21.0,,S
0,3,Mr,0,,0,0,7.8958,,C
1,2,Miss,1,3.0,1,2,41.5792,,C
1,3,Miss,1,19.0,0,0,7.8792,,Q
0,3,Mr,0,,0,0,8.05,,S
0,3,Mr,0,,1,0,15.5,,Q
1,3,Miss,1,,0,0,7.75,,Q
0,3,Mr,0,,2,0,21.6792,,C
0,3,Mrs,1,18.0,1,0,17.8,,S
0,3,Master,0,7.0,4,1,39.6875,,S
0,3,Mr,0,21.0,0,0,7.8,,S
1,1,Mrs,1,49.0,1,0,76.7292,D,C
1,2,Mrs,1,29.0,1,0,26.0,,S
0,1,Mr,0,65.0,0,1,61.9792,B,C
1,1,Mr,0,,0,0,35.5,C,S
1,2,Miss,1,21.0,0,0,10.5,,S
0,3,Mr,0,28.5,0,0,7.2292,,C
1,2,Miss,1,5.0,1,2,27.75,,S
0,3,Master,0,11.0,5,2,46.9,,S
0,3,Mr,0,22.0,0,0,7.2292,,C
1,1,Miss,1,38.0,0,0,80.0,B,
0,1,Mr,0,45.0,1,0,83.475,C,S
0,3,Master,0,4.0,3,2,27.9,,S
0,1,Mr,0,,0,0,27.7208,,C
1,3,Master,0,,1,1,15.2458,,C
1,2,Mrs,1,29.0,0,0,10.5,F,S
0,3,Mr,0,19.0,0,0,8.1583,,S
1,3,Miss,1,17.0,4,2,7.925,,S
0,3,Mr,0,26.0,2,0,8.6625,,S
0,2,Mr,0,32.0,0,0,10.5,,S
0,3,Miss,1,16.0,5,2,46.9,,S
0,2,Mr,0,21.0,0,0,73.5,,S
0,3,Mr,0,26.0,1,0,14.4542,,C
1,3,Mr,0,32.0,0,0,56.4958,,S
0,3,Mr,0,25.0,0,0,7.65,F,S
0,3,Mr,0,,0,0,7.8958,,S
0,3,Mr,0,,0,0,8.05,,S
1,2,Master,0,0.83,0,2,29.0,,S
1,3,Miss,1,30.0,0,0,12.475,,S
0,3,Mr,0,22.0,0,0,9.0,,S
1,3,Mr,0,29.0,0,0,9.5,,S
1,3,Miss,1,,0,0,7.7875,,Q
0,1,Mr,0,28.0,0,0,47.1,,S
1,2,Miss,1,17.0,0,0,10.5,,S
1,3,Mrs,1,33.0,3,0,15.85,,S
0,3,Mr,0,16.0,1,3,34.375,,S
0,3,Mr,0,,0,0,8.05,,S
1,1,Miss,1,23.0,3,2,263.0,C,S
0,3,Mr,0,24.0,0,0,8.05,,S
0,3,Mr,0,29.0,0,0,8.05,,S
0,3,Mr,0,20.0,0,0,7.8542,,S
0,1,Mr,0,46.0,1,0,61.175,E,S
0,3,Mr,0,26.0,1,2,20.575,,S
0,3,Mr,0,59.0,0,0,7.25,,S
0,3,Mr,0,,0,0,8.05,,S
0,1,Mr,0,71.0,0,0,34.6542,A,C
1,1,Mr,0,23.0,0,1,63.3583,D,C
1,2,Mrs,1,34.0,0,1,23.0,,S
0,2,Mr,0,34.0,1,0,26.0,,S
0,3,Miss,1,28.0,0,0,7.8958,,S
0,3,Mr,0,,0,0,7.8958,,S
0,1,Mr,0,21.0,0,1,77.2875,D,S
0,3,Mr,0,33.0,0,0,8.6542,,S
0,3,Mr,0,37.0,2,0,7.925,,S
0,3,Mr,0,28.0,0,0,7.8958,,S
1,3,Miss,1,21.0,0,0,7.65,,S
1,3,Mr,0,,0,0,7.775,,S
0,3,Mr,0,38.0,0,0,7.8958,,S
1,3,Miss,1,,1,0,24.15,,Q
0,1,Mr,0,47.0,0,0,52.0,C,S
0,3,Miss,1,14.5,1,0,14.4542,,C
0,3,Mr,0,22.0,0,0,8.05,,S
0,3,Miss,1,20.0,1,0,9.825,,S
0,3,Miss,1,17.0,0,0,14.4583,,C
0,3,Mr,0,21.0,0,0,7.925,,S
0,3,Mr,0,70.5,0,0,7.75,,Q
0,2,Mr,0,29.0,1,0,21.0,,S
0,1,Mr,0,24.0,0,1,247.5208,B,C
0,3,Miss,1,2.0,4,2,31.275,,S
0,2,Mr,0,21.0,2,0,73.5,,S
0,3,Mr,0,,0,0,8.05,,S
0,2,Mr,0,32.5,1,0,30.0708,,C
1,2,Miss,1,32.5,0,0,13.0,E,S
0,1,Mr,0,54.0,0,1,77.2875,D,S
1,3,Master,0,12.0,1,0,11.2417,,C
0,3,Mr,0,,0,0,7.75,,Q
1,3,Mr,0,24.0,0,0,7.1417,,S
1,3,Miss,1,,1,1,22.3583,F,C
0,3,Mr,0,45.0,0,0,6.975,,S
0,3,Mr,0,33.0,0,0,7.8958,,C
0,3,Mr,0,20.0,0,0,7.05,,S
0,3,Mrs,1,47.0,1,0,14.5,,S
1,2,Mrs,1,29.0,1,0,26.0,,S
0,2,Mr,0,25.0,0,0,13.0,,S
0,2,Mr,0,23.0,0,0,15.0458,,C
