age,workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,label,pa
39.0,State-gov,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,2174.0,0.0,40.0,United-States,0,1
50.0,Self-emp-not-inc,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,0.0,0.0,13.0,United-States,0,1
,,HS-grad,9.0,Divorced,Handlers-cleaners,Not-in-family,White,0.0,0.0,40.0,United-States,0,1
53.0,Private,,7.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,0.0,,40.0,United-States,0,1
28.0,Private,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,Black,0.0,0.0,40.0,,0,0
,Private,Masters,14.0,Married-civ-spouse,Exec-managerial,Wife,White,0.0,,40.0,United-States,0,0
49.0,Private,9th,5.0,Married-spouse-absent,Other-service,Not-in-family,Black,,0.0,,Jamaica,0,0
52.0,Self-emp-not-inc,HS-grad,9.0,,Exec-managerial,Husband,White,0.0,0.0,45.0,United-States,1,1
31.0,Private,,14.0,Never-married,Prof-specialty,,White,14084.0,0.0,50.0,United-States,1,0
42.0,Private,,,Married-civ-spouse,Exec-managerial,Husband,White,5178.0,0.0,40.0,United-States,1,1
37.0,Private,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,80.0,United-States,1,1
30.0,State-gov,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,,0.0,40.0,India,1,1
,Private,Bachelors,13.0,Never-married,Adm-clerical,,White,0.0,0.0,30.0,United-States,0,0
32.0,Private,Assoc-acdm,12.0,Never-married,,Not-in-family,Black,0.0,0.0,50.0,United-States,0,1
40.0,Private,,11.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,0.0,0.0,40.0,,1,1
34.0,Private,7th-8th,,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,0.0,0.0,45.0,Mexico,0,1
25.0,Self-emp-not-inc,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,0.0,0.0,35.0,,0,1
32.0,,HS-grad,9.0,Never-married,Machine-op-inspct,Unmarried,White,0.0,0.0,40.0,United-States,0,1
38.0,Private,,7.0,Married-civ-spouse,Sales,,White,0.0,0.0,50.0,United-States,0,1
43.0,Self-emp-not-inc,Masters,14.0,Divorced,,,White,0.0,0.0,45.0,United-States,1,0
40.0,,,16.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,60.0,United-States,1,1
54.0,Private,,9.0,Separated,Other-service,Unmarried,Black,0.0,0.0,20.0,United-States,0,0
35.0,Federal-gov,,5.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,40.0,United-States,0,1
43.0,Private,11th,7.0,Married-civ-spouse,Transport-moving,Husband,White,0.0,2042.0,40.0,United-States,0,1
59.0,Private,HS-grad,9.0,Divorced,Tech-support,Unmarried,White,0.0,0.0,40.0,United-States,0,0
56.0,,Bachelors,13.0,Married-civ-spouse,,Husband,White,,0.0,40.0,United-States,1,1
19.0,Private,HS-grad,9.0,,Craft-repair,Own-child,,0.0,0.0,40.0,United-States,0,1
54.0,,Some-college,,Married-civ-spouse,,Husband,,0.0,0.0,60.0,South,1,1
39.0,Private,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,0.0,0.0,80.0,United-States,0,1
49.0,Private,HS-grad,9.0,Married-civ-spouse,Craft-repair,,White,0.0,0.0,40.0,United-States,0,1
23.0,Local-gov,Assoc-acdm,12.0,Never-married,Protective-serv,Not-in-family,White,0.0,0.0,52.0,United-States,0,1
20.0,Private,Some-college,10.0,Never-married,Sales,Own-child,Black,0.0,0.0,44.0,United-States,0,1
,Private,Bachelors,13.0,Divorced,Exec-managerial,Own-child,White,0.0,,40.0,United-States,0,1
30.0,Federal-gov,Some-college,10.0,Married-civ-spouse,Adm-clerical,Own-child,White,0.0,0.0,,United-States,0,1
22.0,State-gov,Some-college,10.0,Married-civ-spouse,Other-service,Husband,Black,0.0,0.0,15.0,United-States,0,1
48.0,Private,11th,7.0,Never-married,Machine-op-inspct,Unmarried,White,0.0,0.0,40.0,Puerto-Rico,0,1
21.0,Private,Some-college,10.0,Never-married,,Own-child,White,0.0,0.0,40.0,United-States,0,1
19.0,Private,HS-grad,9.0,Married-AF-spouse,Adm-clerical,Wife,White,0.0,0.0,25.0,United-States,0,0
,Private,,10.0,,Sales,Husband,White,0.0,0.0,38.0,,1,1
48.0,Self-emp-not-inc,,12.0,,,Husband,White,0.0,0.0,40.0,United-States,0,1
31.0,Private,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,43.0,United-States,0,1
53.0,Self-emp-not-inc,Bachelors,13.0,,Prof-specialty,Husband,White,0.0,0.0,40.0,United-States,0,1
24.0,Private,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,0.0,0.0,50.0,United-States,0,1
49.0,Private,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,0.0,0.0,40.0,United-States,0,0
