pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,k_best_sel,max_abs_scale,no_samp",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,k_best_sel,max_abs_scale,over_samp",0.2004342654649519,1.5750090312700482,0.20441055348388415,0.3507128532507694,0.34076346284935244,0.335089291930792,0.35796693933197,0.3467305046921369,0.34076346284935244
"count_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.20179840510462566,1.5826406379982305,0.2046283536396868,0.3537029767970279,0.34150941803942747,0.33552849014768654,0.3596534904131785,0.3478200124445395,0.34150941803942747
"count_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,k_best_sel,min_max_scale,over_samp",0.1989388311285744,1.5677228028154209,0.20368595359622593,0.34815710717464354,0.34090725119291077,0.3354875452973326,0.3573832651670074,0.3466220315250205,0.34090725119291077
"count_enc,mean_imp,k_best_sel,min_max_scale,under_samp",0.19964029535797725,1.5717761711828135,0.20344086514445417,0.34965692066381754,0.34140181947069936,0.33592373549510746,0.358066938968404,0.34718776258804096,0.3414018194706994
"count_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,k_best_sel,no_samp,no_scale",0.12931688212563602,2.597837721539409,0.17962121036475928,0.2644757192843308,0.2982424352237724,0.3875205254515599,0.6978125843910352,0.5952983725135617,0.3971680508867233
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.0,1.0,1.0,1.0,0.33547744156550124,1.0,1.0,1.0,0.5
"count_enc,mean_imp,k_best_sel,no_samp,quant_scale",0.1440922064749424,2.3517052686027755,0.20279760813251838,0.29486760079905283,0.2942562058343902,0.3973838520523225,0.6392114501755329,0.5486486486486483,0.3796602581484345
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0.12931688212563602,2.597837721539409,0.17962121036475928,0.2644757192843308,0.2982424352237724,0.3875205254515599,0.6978125843910352,0.5952983725135617,0.3971680508867233
"count_enc,mean_imp,k_best_sel,no_scale,over_samp",0.20998439066939623,1.616059214586153,0.213394982764573,0.36962681542321885,0.3402511503067483,0.3339503633145685,0.3592152351738242,0.3468306862604501,0.34025115030674824
"count_enc,mean_imp,k_best_sel,no_scale,under_samp",0.20993801134664475,1.6162650752202208,0.21256367361800518,0.3702788009211645,0.3407731062651903,0.3344549920430473,0.3598053942749121,0.34738176020264633,0.3407731062651903
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.0,1.0,1.0,1.0,0.33547744156550124,1.0,1.0,1.0,0.5
"count_enc,mean_imp,k_best_sel,norm_scale,over_samp",0.6458434446021009,-1.0,0.29707159468960903,0.8788297633826181,0.4431620654396727,0.45494263528594864,0.3124233128834356,0.391923222965063,0.4431620654396727
"count_enc,mean_imp,k_best_sel,norm_scale,under_samp",0.6559912862313468,-1.0,0.2878072398622801,0.8806522191329612,0.4443356737780179,0.4565507936911825,0.3037064542263028,0.38955475902732556,0.44433567377801786
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.19984306770820873,1.572476952349074,0.20498439853233033,0.3497553126215573,0.34067825494205856,0.33505010564803617,0.35773900817995913,0.34659403108955844,0.34067825494205856
"count_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.2003453366071017,1.5726878966582718,0.20645180378479863,0.3508334668918681,0.34073364008179946,0.33538212570686865,0.35698917859577367,0.3463669562895514,0.34073364008179957
"count_enc,mean_imp,k_best_sel,over_samp,no_scale",0.21056494386825833,1.617439223148021,0.21415867184151738,0.3709948473566857,0.33960144001363335,0.3334621291932999,0.35802871506475803,0.34597974325956093,0.3396014400136333
"count_enc,mean_imp,k_best_sel,over_samp,norm_scale",0.6458606259381019,-1.0,0.2971724182984083,0.8789780793926332,0.4431844325153374,0.45496309851847205,0.31241053169734145,0.3919314011689461,0.4431844325153374
"count_enc,mean_imp,k_best_sel,over_samp,quant_scale",0.19159967097870084,1.4984502585907051,0.1897712159520479,0.3308893881045463,0.3367309986366735,0.34075173451470403,0.32411170756646224,0.33253679956759574,0.3367309986366735
"count_enc,mean_imp,k_best_sel,quant_scale,no_samp",0.1440922064749424,2.3517052686027755,0.20279760813251838,0.29486760079905283,0.2942562058343902,0.3973838520523225,0.6392114501755329,0.5486486486486483,0.3796602581484345
"count_enc,mean_imp,k_best_sel,quant_scale,over_samp",0.19044084836002056,1.4904821727985982,0.18793460989815597,0.32926977580885564,0.33785254771642803,0.3428469340273327,0.32196446830265835,0.3325705389997019,0.33785254771642803
"count_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.18940805832900265,1.4896534122227978,0.18436345790800815,0.3276519462887076,0.3398110484742099,0.3442022135097406,0.32567766000540105,0.33507291196095285,0.3398110484742099
"count_enc,mean_imp,k_best_sel,under_samp,max_abs_scale",0.20191901121623507,1.5840125835569385,0.20380340253933918,0.3536474539857505,0.34105581623008374,0.33485188577025016,0.3598053942749123,0.3475737256846907,0.3410558162300838
"count_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.1971013759538704,1.562847769576029,0.20041963968298127,0.3449030984492911,0.34116341479881174,0.33538292540240405,0.3586787739670537,0.34724623957100303,0.3411634147988118
"count_enc,mean_imp,k_best_sel,under_samp,no_scale",0.2091082543074104,1.613641169307844,0.2124310339694503,0.36848934843369074,0.34074356940318656,0.33425213036005486,0.3602864231704023,0.347533753882831,0.3407435694031865
"count_enc,mean_imp,k_best_sel,under_samp,norm_scale",0.6567230210765949,-1.0,0.28843486993114004,0.8836438233913179,0.4455804415338915,0.45755613358464353,0.3044153389143937,0.3904624700225451,0.4455804415338915
"count_enc,mean_imp,k_best_sel,under_samp,quant_scale",0.19053895084785047,1.4969667394537698,0.18741982889688422,0.32980545553326135,0.33925828719956796,0.34274374416666054,0.3281545368620038,0.33553194403829706,0.33925828719956796
"count_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,max_abs_scale,k_best_sel,over_samp",0.19861180456796332,1.5680938017516852,0.20407312161045169,0.3479455882614034,0.34123956203135647,0.33548185560162624,0.3587444614860259,0.34732307031927356,0.3412395620313565
"count_enc,mean_imp,max_abs_scale,k_best_sel,under_samp",0.2016975828213847,1.5814296743391274,0.20456731140788142,0.35344013322231543,0.3416887489873076,0.3359226365416017,0.3592230961382662,0.3477866290109231,0.3416887489873076
"count_enc,mean_imp,max_abs_scale,no_samp,k_best_sel",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,max_abs_scale,no_samp,no_sel",0.1256721695888698,2.363114612188366,0.166840204226307,0.25111013620758227,0.29715528175394107,0.39012987012986966,0.6829597623548478,0.5828002842928222,0.3926727918795371
"count_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.1256721695888698,2.363114612188366,0.166840204226307,0.25111013620758227,0.29715528175394107,0.39012987012986966,0.6829597623548478,0.5828002842928222,0.3926727918795371
"count_enc,mean_imp,max_abs_scale,no_sel,over_samp",0.19424375976031416,1.5536791335893534,0.20053821402265007,0.3358871135434371,0.3322405419222904,0.3256390264976703,0.3511716087252897,0.3386548646746711,0.3322405419222904
"count_enc,mean_imp,max_abs_scale,no_sel,under_samp",0.19668401920239115,1.5670492333589583,0.20436843701324298,0.3419087097240228,0.3353952876046449,0.328098653331394,0.3565943154199299,0.34266053791088064,0.3353952876046448
"count_enc,mean_imp,max_abs_scale,over_samp,k_best_sel",0.20043899016538824,1.5760009532357662,0.20486995320417073,0.35095215031646576,0.34125340831629153,0.3354342131674282,0.35893617927743693,0.3473996364494218,0.34125340831629153
"count_enc,mean_imp,max_abs_scale,over_samp,no_sel",0.19583920578701056,1.5603976195868092,0.20330548289698191,0.3390357088839409,0.3321095347648263,0.32540178247514423,0.3513228527607361,0.33861922323044824,0.3321095347648263
"count_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.19936768833584365,1.5735227074749636,0.20145882865308856,0.3489017522179397,0.34140181947069936,0.33526893268419555,0.3599826154469349,0.34786483596730183,0.34140181947069936
"count_enc,mean_imp,max_abs_scale,under_samp,no_sel",0.1947554431529849,1.5583371044169876,0.2022700629530331,0.3383449573984249,0.33568221712125296,0.328664542421359,0.3561386038347285,0.3426927056173525,0.3356822171212529
"count_enc,mean_imp,min_max_scale,k_best_sel,no_samp",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,min_max_scale,k_best_sel,over_samp",0.20086947034822678,1.576634699868068,0.20426015238332282,0.35160875800463304,0.34113624744376275,0.33559647270207477,0.3579925017041582,0.34698977377923784,0.34113624744376275
"count_enc,mean_imp,min_max_scale,k_best_sel,under_samp",0.20036173498231424,1.5752231221693738,0.20421801876664677,0.35070451395275054,0.34086171685120153,0.3351692480124801,0.35809225627869296,0.34683670835628866,0.3408617168512017
"count_enc,mean_imp,min_max_scale,no_samp,k_best_sel",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,min_max_scale,no_samp,no_sel",0.1249947398893418,2.3519261101912403,0.1647742641691307,0.24904419615040582,0.29733647399891294,0.3905356214248566,0.6834998649743446,0.5833629576964088,0.3929428431892854
"count_enc,mean_imp,min_max_scale,no_sel,no_samp",0.1249947398893418,2.3519261101912403,0.1647742641691307,0.24904419615040582,0.29733647399891294,0.3905356214248566,0.6834998649743446,0.5833629576964088,0.3929428431892854
"count_enc,mean_imp,min_max_scale,no_sel,over_samp",0.19484841301418312,1.5537943712429956,0.20105704873670846,0.3368130955936368,0.3320914280845262,0.3259235399365979,0.34981041240627114,0.33808484374059766,0.3320914280845262
"count_enc,mean_imp,min_max_scale,no_sel,under_samp",0.19634231160788052,1.5640084893724022,0.2042189134599103,0.3415348826206884,0.33605142789630016,0.32918152822225366,0.35612594517958407,0.34293474128572404,0.33605142789630027
"count_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.19776285170871422,1.5635971626500775,0.20159132812133762,0.3459059889795998,0.34117352590320377,0.33568062288866707,0.3578881220177233,0.34697667061320625,0.34117352590320377
"count_enc,mean_imp,min_max_scale,over_samp,no_sel",0.19384738896457848,1.5505835676505122,0.20046884293689188,0.3354087180989274,0.3325898943421948,0.3262966579323018,0.3507072256305386,0.3387308955225694,0.3325898943421948
"count_enc,mean_imp,min_max_scale,under_samp,k_best_sel",0.20170375257714848,1.58046513528211,0.20382703781046177,0.35298113502714357,0.3408216311099108,0.3351438901751572,0.3579952065892519,0.34677519702859394,0.34082163110991087
"count_enc,mean_imp,min_max_scale,under_samp,no_sel",0.19544912062920558,1.5598137339181777,0.2030029484698835,0.3401081822554465,0.3363130401026194,0.32960103533230856,0.3559656022144208,0.343053766934267,0.33631304010261936
"count_enc,mean_imp,no_samp,k_best_sel,max_abs_scale",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,no_samp,k_best_sel,min_max_scale",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,no_samp,k_best_sel,no_scale",0.12931688212563602,2.597837721539409,0.17962121036475928,0.2644757192843308,0.2982424352237724,0.3875205254515599,0.6978125843910352,0.5952983725135617,0.3971680508867233
"count_enc,mean_imp,no_samp,k_best_sel,norm_scale",0.0,1.0,1.0,1.0,0.33547744156550124,1.0,1.0,1.0,0.5
"count_enc,mean_imp,no_samp,k_best_sel,quant_scale",0.1440922064749424,2.3517052686027755,0.20279760813251838,0.29486760079905283,0.2942562058343902,0.3973838520523225,0.6392114501755329,0.5486486486486483,0.3796602581484345
"count_enc,mean_imp,no_samp,max_abs_scale,k_best_sel",0.1309940230632272,2.6133392905012984,0.17640760389595314,0.2656042752123985,0.30050733828592147,0.39522258414766503,0.6991628409397779,0.5981965734896305,0.3992065056777963
"count_enc,mean_imp,no_samp,max_abs_scale,no_sel",0.1256721695888698,2.363114612188366,0.166840204226307,0.25111013620758227,0.29715528175394107,0.39012987012986966,0.6829597623548478,0.5828002842928222,0.3926727918795371
"count_enc,mean_imp,no_samp,min_max_scale,k_best_sel",0.13097893198713179,2.6183739881128463,0.17809098848258612,0.26641922731965684,0.3000543576734917,0.3936922240348012,0.6988927896300297,0.5976181883796462,0.39879881471958245
"count_enc,mean_imp,no_samp,min_max_scale,no_sel",0.1249947398893418,2.3519261101912403,0.1647742641691307,0.24904419615040582,0.29733647399891294,0.3905356214248566,0.6834998649743446,0.5833629576964088,0.3929428431892854
"count_enc,mean_imp,no_samp,no_scale,k_best_sel",0.12931688212563602,2.597837721539409,0.17962121036475928,0.2644757192843308,0.2982424352237724,0.3875205254515599,0.6978125843910352,0.5952983725135617,0.3971680508867233
"count_enc,mean_imp,no_samp,no_scale,no_sel",0.12287625752921366,2.212252070404488,0.1634706247281889,0.24341112326062098,0.29253487950715706,0.38185443668993074,0.6651363759114232,0.5655981783149421,0.38478359354535036
"count_enc,mean_imp,no_samp,no_sel,max_abs_scale",0.1256721695888698,2.363114612188366,0.166840204226307,0.25111013620758227,0.29715528175394107,0.39012987012986966,0.6829597623548478,0.5828002842928222,0.3926727918795371
"count_enc,mean_imp,no_samp,no_sel,min_max_scale",0.1249947398893418,2.3519261101912403,0.1647742641691307,0.24904419615040582,0.29733647399891294,0.3905356214248566,0.6834998649743446,0.5833629576964088,0.3929428431892854
"count_enc,mean_imp,no_samp,no_sel,no_scale",0.12287625752921366,2.212252070404488,0.1634706247281889,0.24341112326062098,0.29253487950715706,0.38185443668993074,0.6651363759114232,0.5655981783149421,0.38478359354535036
"count_enc,mean_imp,no_samp,no_sel,norm_scale",0.0,1.0,1.0,1.0,0.33547744156550124,1.0,1.0,1.0,0.5
"count_enc,mean_imp,no_samp,no_sel,quant_scale",0.051535154226444425,1.2677023385531498,0.019689135916443414,0.03145322968614844,0.12248595760101465,0.02923508209851816,0.34539562516878186,0.2180645161290324,0.17767395437034855
"count_enc,mean_imp,no_samp,norm_scale,k_best_sel",0.0008310249307479005,-1.0,0.999617444529456,1.0007029851286757,0.33602101830041675,0.875,0.9997299486902519,0.9994610617084358,0.5003421386259709
"count_enc,mean_imp,no_samp,norm_scale,no_sel",0.0,1.0,1.0,1.0,0.33547744156550124,1.0,1.0,1.0,0.5
