pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,k_best_sel,max_abs_scale,no_samp",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,max_abs_scale,over_samp",0.10482397189345335,1.2292261577781118,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.10425657396242137,1.2277598772144604,0.0,0.021439746753891223,0.027036423104307594,0.05129612330476094,0.0,0.02632392994176706,0.027036423104307556
"count_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,min_max_scale,over_samp",0.1044265022082878,1.2282060425301067,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,min_max_scale,under_samp",0.10488283771551093,1.2293629558924029,0.0,0.02229321924441662,0.02695298593805625,0.05114634557096996,0.0,0.02624493936029344,0.02695298593805623
"count_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,no_samp,no_scale",0.10466247529684951,1.2521250693577033,0.0007132737489545794,0.022079641432703113,0.029650032404406952,0.06057563587684059,0.0007119971520114232,0.031568052440917815,0.027266495156439863
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.46399606782993436,-1.0,0.34725717161550057,0.6311188430852404,0.3063836681788722,0.31756756756756804,0.38875044499821965,0.3551173708920186,0.3131679670724075
"count_enc,mean_imp,k_best_sel,no_samp,quant_scale",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0.10466247529684951,1.2521250693577033,0.0007132737489545794,0.022079641432703113,0.029650032404406952,0.06057563587684059,0.0007119971520114232,0.031568052440917815,0.027266495156439863
"count_enc,mean_imp,k_best_sel,no_scale,over_samp",0.10502315083907801,1.2297736218754443,0.0001641390921660988,0.021530506775914626,0.026968573446327644,0.05107786561020079,0.00011615373178711433,0.026263344359388797,0.026968573446327748
"count_enc,mean_imp,k_best_sel,no_scale,under_samp",0.1048954872689589,1.2295045500362476,0.0005781764865788204,0.02224649464355245,0.02721720363118548,0.05120531235123792,0.0004894980420078413,0.026508058829712394,0.027217203631185512
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.46399606782993436,-1.0,0.34725717161550057,0.6311188430852404,0.3063836681788722,0.31756756756756804,0.38875044499821965,0.3551173708920186,0.3131679670724075
"count_enc,mean_imp,k_best_sel,norm_scale,over_samp",0.5359427586757813,-1.0,0.27744148606351304,0.6003356383209576,0.29377369536128467,0.28338094557765553,0.31776408712459103,0.3009965829156055,0.2937736953612847
"count_enc,mean_imp,k_best_sel,norm_scale,under_samp",0.536119393413432,-1.0,0.27996036738802227,0.6056669633818692,0.29656350124599495,0.28596998388963885,0.32129983980064075,0.3040844189832465,0.29656350124599495
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.10545882588385198,1.2308494314616358,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.1044880559006653,1.2283823059801249,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,over_samp,no_scale",0.10469610647581422,1.2289540527325642,0.00022353444520702696,0.02158990212895555,0.026989481118049306,0.051079892842379335,0.00015796907523047375,0.02628424137133078,0.02698948111804938
"count_enc,mean_imp,k_best_sel,over_samp,norm_scale",0.5355477623801953,-1.0,0.2781577586362603,0.6010669204998528,0.2940780181385669,0.283589225625247,0.3183123327386261,0.30138362010177194,0.2940780181385669
"count_enc,mean_imp,k_best_sel,over_samp,quant_scale",0.10503044376910257,1.2297549956602363,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,quant_scale,no_samp",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
"count_enc,mean_imp,k_best_sel,quant_scale,over_samp",0.10387532304192665,1.2268211616329885,0.0,0.021366367683748534,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434255
"count_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.10446165668451109,1.2283968014597741,0.0,0.021254841891918123,0.026791674083303685,0.05085572569772244,0.0,0.02609194245609231,0.026791674083303647
"count_enc,mean_imp,k_best_sel,under_samp,max_abs_scale",0.10484175780547476,1.229284784487139,0.0,0.022068364830414394,0.02692239231043076,0.051091184708229966,0.0,0.026215911046744183,0.026922392310430743
"count_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.10483472430162216,1.229284951940674,0.0,0.02073816866062845,0.026861205055179797,0.05098093018211182,0.0,0.026157872638569852,0.026861205055179745
"count_enc,mean_imp,k_best_sel,under_samp,no_scale",0.10576135438269721,1.231712985207843,0.000529014552621235,0.021816440730818787,0.027125422748309008,0.051068691366610935,0.0004561231755073076,0.026420250560513402,0.027125422748309043
"count_enc,mean_imp,k_best_sel,under_samp,norm_scale",0.5358444890362087,-1.0,0.2804557750377453,0.6063549773425151,0.29677765663937355,0.286207480577233,0.32148896404414384,0.30429638533879994,0.2967776566393735
"count_enc,mean_imp,k_best_sel,under_samp,quant_scale",0.10505387892303027,1.2299886295599571,0.0,0.02142309336966101,0.02653858134567463,0.050398547323387416,0.0,0.025851569007035564,0.02653858134567459
"count_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",0.10443272475148448,1.2512837759180453,0.0,0.021366367683748534,0.029325988334413463,0.06053511705685631,0.0,0.03121227797896187,0.026910496580434255
