pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"onehot_enc,mean_imp,no_sel,no_samp,no_scale",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_sel,no_scale,no_samp",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_samp,no_sel,no_scale",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_samp,no_scale,no_sel",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_scale,no_sel,no_samp",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_scale,no_samp,no_sel",0.12917251051893408,0.8411247196825944,0.07786717714035035,0.23959444550098247,0.253,0.21086675291073742,0.12857142857142856,0.17175831636116756,0.335952380952381
"onehot_enc,mean_imp,no_sel,no_samp,max_abs_scale",0.11337073398784481,0.8600611691384384,0.07095783607015026,0.19209717993873182,0.241,0.20387096774193547,0.11857142857142855,0.16338983050847455,0.3226190476190476
"onehot_enc,mean_imp,no_sel,max_abs_scale,no_samp",0.11337073398784481,0.8600611691384384,0.07095783607015026,0.19209717993873182,0.241,0.20387096774193547,0.11857142857142855,0.16338983050847455,0.3226190476190476
"onehot_enc,mean_imp,no_samp,no_sel,max_abs_scale",0.11337073398784481,0.8600611691384384,0.07095783607015026,0.19209717993873182,0.241,0.20387096774193547,0.11857142857142855,0.16338983050847455,0.3226190476190476
"onehot_enc,mean_imp,no_samp,max_abs_scale,no_sel",0.11337073398784481,0.8600611691384384,0.07095783607015026,0.19209717993873182,0.241,0.20387096774193547,0.11857142857142855,0.16338983050847455,0.3226190476190476
"onehot_enc,mean_imp,max_abs_scale,no_sel,no_samp",0.11337073398784481,0.8600611691384384,0.07095783607015026,0.19209717993873182,0.241,0.20387096774193547,0.11857142857142855,0.16338983050847455,0.3226190476190476
