pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"onehot_enc,mean_imp,no_sel,no_samp,no_scale",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_sel,no_scale,no_samp",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_samp,no_sel,no_scale",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_samp,no_scale,no_sel",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_scale,no_sel,no_samp",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_scale,no_samp,no_sel",0.18239812349454146,0.2794678914165956,0.12852673716385182,0.20820522386328275,0.15512422837136453,0.27779547626632684,0.42175742889937506,0.3577448827820666,0.24615379535583637
"onehot_enc,mean_imp,no_sel,no_samp,max_abs_scale",0.18483420266264064,0.2642423682829851,0.16074292717370348,0.24020535377722332,0.1571819047326556,0.28001292615931495,0.4317051396505548,0.36478973627940126,0.2509051588220411
"onehot_enc,mean_imp,no_sel,max_abs_scale,no_samp",0.18483420266264064,0.2642423682829851,0.16074292717370348,0.24020535377722332,0.1571819047326556,0.28001292615931495,0.4317051396505548,0.36478973627940126,0.2509051588220411
"onehot_enc,mean_imp,no_samp,no_sel,max_abs_scale",0.18483420266264064,0.2642423682829851,0.16074292717370348,0.24020535377722332,0.1571819047326556,0.28001292615931495,0.4317051396505548,0.36478973627940126,0.2509051588220411
"onehot_enc,mean_imp,no_samp,max_abs_scale,no_sel",0.18483420266264064,0.2642423682829851,0.16074292717370348,0.24020535377722332,0.1571819047326556,0.28001292615931495,0.4317051396505548,0.36478973627940126,0.2509051588220411
