pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,k_best_sel,max_abs_scale,no_samp",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,k_best_sel,max_abs_scale,over_samp",0.2007012311460174,0.6403497066530458,0.17525956764274817,0.3432245449441917,0.32504464285714285,0.32158997512708776,0.33448660714285716,0.32812254801348834,0.32504464285714285
"count_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.20053369073295305,0.6435074770879278,0.2055914899322613,0.349569797007529,0.3337499999999999,0.3313352407785148,0.3408854166666666,0.3362159081045303,0.33374999999999994
"count_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,k_best_sel,min_max_scale,over_samp",0.20068463579246992,0.6404147836294577,0.17433872720565505,0.34178268817282037,0.3234933035714286,0.3201957010500461,0.33249999999999996,0.3264241248139795,0.3234933035714286
"count_enc,mean_imp,k_best_sel,min_max_scale,under_samp",0.1971276239197737,0.6504790542961965,0.19175358861467148,0.3439538023617295,0.3379947916666665,0.33581840621832865,0.34442708333333333,0.3402145736577507,0.3379947916666665
"count_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.07919588592800367,0.9118626430801255,0.04926270451350458,0.1595946128664513,0.2920000000000001,0.2665903890160183,0.08428571428571444,0.1855146124523509,0.43047619047619096
"count_enc,mean_imp,k_best_sel,no_samp,no_scale",0.07517531556802225,0.9156569630212421,0.04027956410333108,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428572,0.1836734693877554,0.42285714285714326
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",1.0,-1.0,0.0,1.0,0.29899999999999977,0.2992992992992995,0.0,0.17598587404355487,0.49833333333333396
"count_enc,mean_imp,k_best_sel,no_samp,quant_scale",0.1113136979897149,0.8742938598806818,0.06114716996181412,0.23704418710961217,0.2850000000000001,0.2561692126909523,0.09571428571428585,0.1837524177949709,0.41119047619047655
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0.07517531556802225,0.9156569630212421,0.04027956410333108,0.15325329002676644,0.2880000000000002,0.2626728110599076,0.08571428571428572,0.1836734693877554,0.42285714285714326
"count_enc,mean_imp,k_best_sel,no_scale,over_samp",0.1895940937940912,0.6682738187864155,0.1739048681940997,0.3254936528894193,0.33534598214285705,0.3369384017177443,0.3299330357142857,0.3335425905343914,0.33534598214285705
"count_enc,mean_imp,k_best_sel,no_scale,under_samp",0.18253158116061702,0.6805754272088538,0.18713942722936897,0.31752738414372605,0.3461197916666667,0.3482238516754837,0.3388541666666667,0.3437023315902772,0.34611979166666673
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",1.0,-1.0,0.0,1.0,0.29899999999999977,0.2992992992992995,0.0,0.17598587404355487,0.49833333333333396
"count_enc,mean_imp,k_best_sel,norm_scale,over_samp",0.44815962420682753,-1.0,0.45149253731343325,0.820502162281081,0.37757812500000015,0.3613025218089008,0.43613839285714295,0.40109306394869065,0.37757812500000015
"count_enc,mean_imp,k_best_sel,norm_scale,under_samp",0.43629590049828887,-1.0,0.4743562861665341,0.8403253228637819,0.39070312500000004,0.3721676015166964,0.46364583333333326,0.4216075080647551,0.390703125
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.20033285267615153,0.6411226569953606,0.18069705954196957,0.3424679398579334,0.3232254464285714,0.3199428589564013,0.33216517857142874,0.32613318806361946,0.3232254464285714
"count_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.1869515123716199,0.6617223033407477,0.16191571575987798,0.31828792430582,0.3244196428571429,0.32110519005049626,0.3335044642857143,0.32738532232615564,0.3244196428571429
"count_enc,mean_imp,k_best_sel,over_samp,no_scale",0.19068266675853981,0.668293210843663,0.1787654911813677,0.3318349745030184,0.3374441964285714,0.33899050082843774,0.33214285714285724,0.33564987397928886,0.3374441964285713
"count_enc,mean_imp,k_best_sel,over_samp,norm_scale",0.4492579792787943,-1.0,0.4525808457711446,0.8242604113049046,0.37781250000000005,0.360944659579359,0.4382366071428572,0.40213534040161025,0.37781250000000005
"count_enc,mean_imp,k_best_sel,over_samp,quant_scale",0.185778850957247,0.6581340955475805,0.17191083036720206,0.3148084839317078,0.3246986607142858,0.31785094768886235,0.34332589285714277,0.3308566388272635,0.32469866071428577
"count_enc,mean_imp,k_best_sel,quant_scale,no_samp",0.1113136979897149,0.8742938598806818,0.06114716996181412,0.23704418710961217,0.2850000000000001,0.2561692126909523,0.09571428571428585,0.1837524177949709,0.41119047619047655
"count_enc,mean_imp,k_best_sel,quant_scale,over_samp",0.19327364418942114,0.6431850694042014,0.17132009666098355,0.3257855249758995,0.32200892857142854,0.31320750802496417,0.3453794642857143,0.3297222367970593,0.32200892857142854
"count_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.16985357066763548,0.6818120759555445,0.16270619771258707,0.28448648254855413,0.3275520833333334,0.3186447737241943,0.3520833333333334,0.3358688233008095,0.3275520833333334
"count_enc,mean_imp,k_best_sel,under_samp,max_abs_scale",0.2040105538585503,0.638390052293289,0.20736425814696965,0.3581077196484827,0.33619791666666676,0.3340071509974591,0.34276041666666657,0.33847652851394877,0.3361979166666667
"count_enc,mean_imp,k_best_sel,under_samp,min_max_scale",0.19041901599442357,0.6575868343528859,0.18976502938931372,0.32982864315558497,0.33463541666666663,0.3318171954573109,0.34296874999999993,0.3374965254324111,0.33463541666666663
"count_enc,mean_imp,k_best_sel,under_samp,no_scale",0.17516965113269764,0.6936359430149368,0.17898153581623052,0.30289103555204877,0.3440885416666666,0.346416597017392,0.33614583333333325,0.34141735882751323,0.3440885416666667
"count_enc,mean_imp,k_best_sel,under_samp,norm_scale",0.4364086022158673,-1.0,0.47407064123678294,0.8407564210532967,0.38828124999999997,0.3699726318671676,0.45895833333333325,0.4179455348483854,0.38828125
"count_enc,mean_imp,k_best_sel,under_samp,quant_scale",0.1716010182766956,0.6801666699293986,0.1694896498431829,0.2893553674569012,0.33346354166666664,0.32572817805234666,0.3555208333333332,0.3410215526212882,0.33346354166666664
"count_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",0.08532024310425435,0.9053521418939938,0.051266712529536726,0.17600853490332996,0.29100000000000026,0.2662857142857145,0.08285714285714277,0.18476190476190452,0.42976190476190446
"count_enc,mean_imp,max_abs_scale,k_best_sel,over_samp",0.19937532539771285,0.6425001839921075,0.17908609507572362,0.3405787020994122,0.3236830357142855,0.3202293718513804,0.3330803571428572,0.32673912940671457,0.3236830357142855
"count_enc,mean_imp,max_abs_scale,k_best_sel,under_samp",0.18918165325618805,0.6619657159678384,0.19580077452821273,0.33002311950155433,0.3329687499999999,0.3306290005622969,0.3398958333333333,0.3353537737161511,0.33296875
