pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,k_best_sel,max_abs_scale,no_samp",0.1895750018672769,0.13217661960337002,0.3029373742281174,0.3876721854073609,0.1753631645219739,0.28988365213961725,0.5407473536538704,0.4422242874845104,0.3001066865356737
"count_enc,mean_imp,k_best_sel,max_abs_scale,over_samp",0.4489801787856538,0.2816600743857521,0.3695185626247199,0.6374448279959154,0.22295237914644017,0.2252296157780759,0.21880878337378634,0.22203295737857848,0.22295237914644012
"count_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.4592077223085214,0.2726250762723572,0.39315863781173555,0.6665264343503254,0.224346583662798,0.22847901492643685,0.21672937125366665,0.22265038336429913,0.22434658366279803
"count_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0.18929541952881246,0.13382041336984052,0.3005429500395825,0.385239610265427,0.17530174134701018,0.28993500098483344,0.5402372146409891,0.4418640656448363,0.2998920701036666
"count_enc,mean_imp,k_best_sel,min_max_scale,over_samp",0.44933674585372246,0.28117640294445584,0.37104455444707346,0.638495364595249,0.22282975576456313,0.22511226982658245,0.21867857504045302,0.22190917176427044,0.22282975576456315
"count_enc,mean_imp,k_best_sel,min_max_scale,under_samp",0.45721671749472353,0.27471077034958336,0.3905541389309666,0.6627570361399088,0.2245707658461931,0.22860029674451207,0.21713987374059437,0.22291388249867616,0.22457076584619307
"count_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",0.1895750018672769,0.13217661960337002,0.3029373742281174,0.3876721854073609,0.1753631645219739,0.28988365213961725,0.5407473536538704,0.4422242874845104,0.3001066865356737
"count_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.18929541952881246,0.13382041336984052,0.3005429500395825,0.385239610265427,0.17530174134701018,0.28993500098483344,0.5402372146409891,0.4418640656448363,0.2998920701036666
"count_enc,mean_imp,k_best_sel,no_samp,no_scale",0.14354411197711944,0.1867326573111203,0.1777787708393331,0.24939428508992723,0.19495715733546254,0.322304213282552,0.6369085575819404,0.5271549576482313,0.34584101018255675
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.0366725466530498,-1.0,0.7947413061916886,0.8106920985186276,0.20702681121587177,0.24862888482632564,0.7903328657059058,0.672150762787915,0.4061696690989072
"count_enc,mean_imp,k_best_sel,no_samp,quant_scale",0.21480220139668477,0.12283733725004536,0.34488531284876567,0.45136749061985876,0.18159761678081138,0.32968197879858635,0.5161331462823614,0.43796755795866915,0.29580929158778313
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0.14354411197711944,0.1867326573111203,0.1777787708393331,0.24939428508992723,0.19495715733546254,0.322304213282552,0.6369085575819404,0.5271549576482313,0.34584101018255675
"count_enc,mean_imp,k_best_sel,no_scale,over_samp",0.4153672335371931,0.3440476037170212,0.3677881277250245,0.6585672380050965,0.3006292349312297,0.3085221479258407,0.27967549049352747,0.2944026305320022,0.3006292349312298
"count_enc,mean_imp,k_best_sel,no_scale,under_samp",0.41637006790042075,0.3422380179493553,0.3688077221007631,0.659688277500886,0.2997833901925776,0.30752394601996214,0.2794565425328402,0.2937779161467908,0.2997833901925776
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.0366725466530498,-1.0,0.7947413061916886,0.8106920985186276,0.20702681121587177,0.24862888482632564,0.7903328657059058,0.672150762787915,0.4061696690989072
"count_enc,mean_imp,k_best_sel,norm_scale,over_samp",0.21500348417120219,-1.0,0.6423475914461099,0.8021552436562852,0.3172434390169902,0.31920638525188577,0.31181356189320386,0.3155317548887052,0.3172434390169902
"count_enc,mean_imp,k_best_sel,norm_scale,under_samp",0.21785918206120777,-1.0,0.6420960559796439,0.8057248763400663,0.3189943087616374,0.32155638416974175,0.31179258066573146,0.3167241963644493,0.3189943087616375
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.4490752185397443,0.28130995299702766,0.3692735933724117,0.6372972131059264,0.22296818112864075,0.22516269901380848,0.2189762843851133,0.22208226298199368,0.2229681811286408
"count_enc,mean_imp,k_best_sel,over_samp,min_max_scale",0.44887013210185545,0.28179401952690175,0.36933910795988195,0.6367679215267028,0.22271376921521033,0.22501068624527404,0.21853825343851138,0.22178828136319972,0.22271376921521033
"count_enc,mean_imp,k_best_sel,over_samp,no_scale",0.4036783609495914,0.3600640555644929,0.35282861389166964,0.6371627396176405,0.30548075950647247,0.31354244327103126,0.2836841373381877,0.2989362978265817,0.3054807595064725
"count_enc,mean_imp,k_best_sel,over_samp,norm_scale",0.21563043908227153,-1.0,0.6409806716417531,0.8009626227468406,0.3174352750809061,0.3192678126836632,0.31236094255663444,0.31584097628521346,0.3174352750809061
"count_enc,mean_imp,k_best_sel,over_samp,quant_scale",0.4324951693851373,0.3113216906007497,0.3233493043719903,0.5874601677346817,0.22159309263754048,0.22788587533264526,0.21003109830097094,0.21906085599523326,0.22159309263754048
"count_enc,mean_imp,k_best_sel,quant_scale,no_samp",0.21480220139668477,0.12283733725004536,0.34488531284876567,0.45136749061985876,0.18159761678081138,0.32968197879858635,0.5161331462823614,0.43796755795866915,0.29580929158778313
"count_enc,mean_imp,k_best_sel,quant_scale,over_samp",0.43154170240625667,0.31356055397134464,0.32656147569683525,0.5887312137610449,0.22307279025080895,0.2298289671177333,0.21057026193365702,0.2203188378580866,0.22307279025080898
"count_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.43316171658398334,0.3115650557894767,0.33064191172688556,0.5925869443407852,0.22262785359010337,0.22935396975997044,0.2101952078816478,0.2198930852626588,0.22262785359010337
