pipe,gen,dp_acc_ratio,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"target_enc,most_freq_imp,no_samp,quant_scale,no_sel",0,"(0, 10)",41246,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"woe_enc,mean_imp,quant_scale,no_sel,no_samp",0,"(0, 10)",41246,0.0515200631503492,1.2679885573678915,0.0202248540914464,0.0320704926844712,0.1218517847436128,0.0272654370489173,0.3448555225492845,0.2170405034694203,0.1770630714314247
"target_enc,mean_imp,no_scale,over_samp,no_sel",0,"(0, 10)",41246,0.1865769421672153,1.5212061514746835,0.1870036400728195,0.3181392043439034,0.328582992501704,0.3223812896471173,0.3460442229038856,0.3344264388074653,0.328582992501704
"onehot_enc,median_imp,quant_scale,no_sel,over_samp",0,"(0, 10)",41246,0.1786350918183614,1.5101739597645645,0.1534102939157529,0.2887416625425875,0.2952848074301296,0.2820126592978257,0.3257263974096795,0.3045583688347962,0.2952848074301296
"loo_enc,most_freq_imp,no_samp,quant_scale,k_best_sel",0,"(0, 10)",41246,0.0677314339859739,1.3912233206633131,0.0556848304987692,0.0583981648833016,0.1242072839282479,0.0141666666666665,0.3610586011342153,0.2246436178928395,0.1828469556454989
"loo_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0,"(0, 10)",41246,0.2008865941651295,1.5789020196481216,0.2020327387037235,0.352250564951245,0.341935592762625,0.3359695702854916,0.3600796651363758,0.3482542088878453,0.341935592762625
"loo_enc,median_imp,no_samp,k_best_sel,min_max_scale",0,"(0, 10)",41246,0.1227263625137667,2.455184012663238,0.1741087581666284,0.2483122402658289,0.2839282478709911,0.3434232250963127,0.6778287874696194,0.5677536231884059,0.3814501810558727
"target_enc,most_freq_imp,no_samp,k_best_sel,max_abs_scale",0,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"target_enc,median_imp,min_max_scale,over_samp,no_sel",0,"(0, 10)",41246,0.1951221465895104,1.567559020955686,0.1898762121858933,0.3308800599877711,0.3173696319018405,0.3075462157131589,0.3428936605316973,0.3256859209323463,0.3173696319018406
"target_enc,most_freq_imp,no_scale,no_samp,no_sel",0,"(0, 10)",41246,0.0546442786683285,1.2657730649116932,0.0073781566095679,0.0111907947683764,0.0997463308570392,0.0116366366366366,0.2889549014312716,0.1729228836186587,0.146590606816522
"woe_enc,mean_imp,no_samp,quant_scale,no_sel",1,"(0, 10)",41246,0.0515200631503492,1.2679885573678915,0.0202248540914464,0.0320704926844712,0.1218517847436128,0.0272654370489173,0.3448555225492845,0.2170405034694203,0.1770630714314247
"target_enc,most_freq_imp,no_samp,no_sel,max_abs_scale",1,"(0, 10)",41246,0.0767596702599871,1.3747678018575864,0.0493169856736663,0.0559520293904429,0.0884218155462945,0.0156305506216696,0.2516878206859303,0.1497391837987114,0.1288432286797068
"woe_enc,mean_imp,quant_scale,k_best_sel,no_samp",1,"(0, 10)",41246,0.1015710680854213,1.6888069945828377,0.1056703221967183,0.1548809126178351,0.2011233919188257,0.1859381617958493,0.4809613826627057,0.3660949868073875,0.2704057083729342
"loo_enc,most_freq_imp,no_samp,quant_scale,no_sel",1,"(0, 10)",41246,0.075867628045604,1.427862044133111,0.0556841279175563,0.0710840070243724,0.1306396086247509,0.0487025948103791,0.3564677288684844,0.2322809278350512,0.1865501561861169
"target_enc,most_freq_imp,no_samp,quant_scale,k_best_sel",1,"(0, 10)",41246,0.0677314339859739,1.3912233206633131,0.0556848304987692,0.0583981648833016,0.1242072839282479,0.0141666666666665,0.3610586011342153,0.2246436178928395,0.1828469556454989
"loo_enc,most_freq_imp,no_samp,quant_scale,k_best_sel",1,"(0, 10)",41246,0.0677314339859739,1.3912233206633131,0.0556848304987692,0.0583981648833016,0.1242072839282479,0.0141666666666665,0.3610586011342153,0.2246436178928395,0.1828469556454989
"onehot_enc,median_imp,quant_scale,no_sel,over_samp",1,"(0, 10)",41246,0.1786350918183614,1.5101739597645645,0.1534102939157529,0.2887416625425875,0.2952848074301296,0.2820126592978257,0.3257263974096795,0.3045583688347962,0.2952848074301296
"target_enc,mean_imp,no_scale,over_samp,no_sel",1,"(0, 10)",41246,0.1865769421672153,1.5212061514746835,0.1870036400728195,0.3181392043439034,0.328582992501704,0.3223812896471173,0.3460442229038856,0.3344264388074653,0.328582992501704
"target_enc,most_freq_imp,max_abs_scale,no_sel,no_samp",1,"(0, 10)",41246,0.0767596702599871,1.3747678018575864,0.0493169856736663,0.0559520293904429,0.0884218155462945,0.0156305506216696,0.2516878206859303,0.1497391837987114,0.1288432286797068
"target_enc,most_freq_imp,no_samp,k_best_sel,max_abs_scale",1,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"target_enc,most_freq_imp,no_samp,k_best_sel,quant_scale",2,"(0, 10)",41246,0.0715340949489879,1.4163371562732254,0.0607349842586679,0.0667864852641751,0.1248414567856494,0.0182345627849149,0.3602484472049691,0.2253106605624588,0.1831235419392261
"woe_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",2,"(0, 10)",41246,0.1309940230632272,2.6133392905012984,0.1764076038959531,0.2656042752123985,0.3005073382859214,0.395222584147665,0.6991628409397779,0.5981965734896305,0.3992065056777963
"woe_enc,most_freq_imp,no_samp,quant_scale,no_sel",2,"(0, 10)",41246,0.0766835619002567,1.4331033126260062,0.0559135206836395,0.0722633770931501,0.1301866280123211,0.0482456140350877,0.3553875236294895,0.2313637095475767,0.1859418872407842
"target_enc,mean_imp,no_samp,k_best_sel,max_abs_scale",2,"(0, 10)",41246,0.1311325272183517,2.6150451255473124,0.1760250484254103,0.2656559359815431,0.3007791266533791,0.3960933260987513,0.6994328922495263,0.598629642985936,0.3994778639843411
"target_enc,most_freq_imp,no_samp,max_abs_scale,k_best_sel",2,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"loo_enc,most_freq_imp,no_samp,quant_scale,k_best_sel",2,"(0, 10)",41246,0.0677314339859739,1.3912233206633131,0.0556848304987692,0.0583981648833016,0.1242072839282479,0.0141666666666665,0.3610586011342153,0.2246436178928395,0.1828469556454989
"target_enc,most_freq_imp,no_samp,no_sel,max_abs_scale",2,"(0, 10)",41246,0.0767596702599871,1.3747678018575864,0.0493169856736663,0.0559520293904429,0.0884218155462945,0.0156305506216696,0.2516878206859303,0.1497391837987114,0.1288432286797068
"woe_enc,mean_imp,no_samp,no_sel,quant_scale",2,"(0, 10)",41246,0.0515200631503492,1.2679885573678915,0.0202248540914464,0.0320704926844712,0.1218517847436128,0.0272654370489173,0.3448555225492845,0.2170405034694203,0.1770630714314247
"target_enc,most_freq_imp,no_samp,k_best_sel,max_abs_scale",2,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"ordinal_enc,most_freq_imp,no_samp,k_best_sel,max_abs_scale",2,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
"target_enc,most_freq_imp,no_samp,k_best_sel,max_abs_scale",3,"(0, 10)",41246,0.0742639109974766,1.358457158265949,0.0423533519798387,0.0481877448655024,0.0875158543214349,0.0152320226709175,0.2492573588981908,0.1480232914495864,0.1275598314600019
