pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"loo_enc,most_freq_imp,max_abs_scale,over_samp,no_sel",0,"(0, 20)",73564,0.4141363601769511,0.3508984954675124,0.22305268380298007,0.4822572422134127,0.1936295888956311,0.2090956126382824,0.16704654631877025,0.18861619316457395,0.1936295888956311
"ordinal_enc,mean_imp,norm_scale,over_samp,no_sel",0,"(0, 20)",73564,0.4118003378185629,-1.0,0.4081461744977592,0.7500342713493021,0.33988862762944994,0.3601116193020695,0.2676002477750809,0.3169763680095204,0.33988862762944994
"ordinal_enc,most_freq_imp,k_best_sel,max_abs_scale,over_samp",0,"(0, 20)",73564,0.4468655692082844,0.2702509763291102,0.4053935358677795,0.6791627108911773,0.2518105911205501,0.2478314963457028,0.2597011529126214,0.25381393053088586,0.2518105911205501
"target_enc,mean_imp,under_samp,quant_scale,k_best_sel",0,"(0, 20)",73564,0.3981558188869725,0.3679319844951264,0.2168546111253704,0.463966263661528,0.20425687093482986,0.21710423378169516,0.1815417357479913,0.19971922719714824,0.20425687093482986
"onehot_enc,median_imp,norm_scale,under_samp,k_best_sel",0,"(0, 20)",73564,0.19229344349139926,-1.0,0.6146098388464801,0.7322703511811187,0.3278340613442164,0.2992617242095622,0.3979283573523786,0.3533127779894372,0.32783406134421633
"target_enc,most_freq_imp,max_abs_scale,k_best_sel,under_samp",0,"(0, 20)",73564,0.4251427501039936,0.34224096423882905,0.24575663524263425,0.5175296082894316,0.19966561981890066,0.2176787874325772,0.16776001147812786,0.19349205613041232,0.19966561981890066
"count_enc,median_imp,min_max_scale,k_best_sel,no_samp",0,"(0, 20)",73564,0.18948321664469767,0.1322321793425897,0.30378555064881285,0.3882839031009933,0.1753631645219739,0.2898007496547642,0.5408748884070914,0.4422927962819515,0.30015022737506664
"woe_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",0,"(0, 20)",73564,0.3949019925071096,0.3697960229029947,0.21428082382960068,0.4547599281334251,0.20222713137135914,0.21389713240620545,0.18183214502427186,0.19818536836368408,0.20222713137135914
"count_enc,median_imp,min_max_scale,k_best_sel,over_samp",0,"(0, 20)",73564,0.4478984550442992,0.2826263644285931,0.3675388745873513,0.6341082967525702,0.22219356796116502,0.22425564009462315,0.21845545105177988,0.22136680247605572,0.22219356796116504
"onehot_enc,most_freq_imp,quant_scale,no_samp,no_sel",0,"(0, 20)",73564,0.18987604989840412,0.26065062057072363,0.17158117552515795,0.25586379867004005,0.1599459476060316,0.29159411112870043,0.4292819793393693,0.3678485661816638,0.2518982712230833
"count_enc,median_imp,min_max_scale,k_best_sel,over_samp",1,"(0, 20)",73564,0.4478984550442992,0.2826263644285931,0.3675388745873513,0.6341082967525702,0.22219356796116502,0.22425564009462315,0.21845545105177988,0.22136680247605572,0.22219356796116504
"loo_enc,most_freq_imp,max_abs_scale,over_samp,no_sel",1,"(0, 20)",73564,0.4141363601769511,0.3508984954675124,0.22305268380298007,0.4822572422134127,0.1936295888956311,0.2090956126382824,0.16704654631877025,0.18861619316457395,0.1936295888956311
"target_enc,median_imp,max_abs_scale,k_best_sel,under_samp",1,"(0, 20)",73564,0.4258942488697057,0.3413815017242925,0.2482174982729641,0.5197447379282346,0.1996227761127407,0.2176612808190932,0.16767033860476985,0.19344094141879772,0.1996227761127407
"count_enc,most_freq_imp,min_max_scale,k_best_sel,no_samp",1,"(0, 20)",73564,0.18825256948133232,0.13000562269390528,0.30657057904910057,0.3897189280390269,0.1755167224593841,0.2881626145874848,0.5444458614972587,0.4444358037172407,0.3014705035641633
