pipe,gen,reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,median_imp,k_best_sel,under_samp,quant_scale",0,accu_dp,12677,0.8351398149648971,0.16261840869627747,0.6609411298578572,1.5524986759393264,0.21929824561403502,0.22353883638183333,0.2111202485380117,0.21749523317445868,0.21929824561403502
"ordinal_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0,accu_dp,12677,0.850385831999234,0.13486411954451727,0.7145125096083236,1.5760761966928436,0.2204576502732241,0.21162552342489235,0.2357411202185793,0.2239010285436974,0.2204576502732241
"woe_enc,median_imp,quant_scale,k_best_sel,no_samp",0,accu_dp,12677,0.8446444932607717,0.05616238119614892,0.8286411780919001,1.5126392787566671,0.19977553310886625,0.23548387096774226,0.3070175438596493,0.27300613496932513,0.21999328923401376
"target_enc,mean_imp,no_sel,under_samp,max_abs_scale",0,accu_dp,12677,0.8393377852755275,0.14909657130426854,0.63627532287278,1.5131483337462832,0.2018914473684212,0.19850635014595056,0.20728252923976626,0.20298090231933846,0.2018914473684212
"ordinal_enc,mean_imp,no_sel,over_samp,min_max_scale",0,accu_dp,12677,0.8354563994579679,0.14636855798982767,0.7070408518398661,1.532899262333694,0.2226206739526411,0.21640671834101027,0.23354963570127504,0.2251100746836696,0.2226206739526411
"target_enc,median_imp,under_samp,no_scale,k_best_sel",0,accu_dp,12677,0.8268081088282716,0.15382423054725533,0.66785077961964,1.4924275118664443,0.21379294590643286,0.20934534161011464,0.22103435672514601,0.21532133012565408,0.21379294590643289
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0,accu_dp,12677,0.19237435008665524,-1.0,0.605504587155963,0.7508037324551092,0.31088664421997725,0.3640167364016734,0.5555555555555564,0.4767641996557657,0.3570127504553729
"woe_enc,most_freq_imp,no_sel,over_samp,no_scale",0,accu_dp,12677,0.7754992947566436,0.1783538808975015,0.5619292390771405,1.241561094490245,0.18354394353369766,0.17669369264057988,0.1941313752276867,0.185536089201102,0.18354394353369766
"onehot_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0,accu_dp,12677,0.8318195910005595,0.16818040899944053,0.6672678443261133,1.5606639447534645,0.2252390710382514,0.2320280366150665,0.2120617030965392,0.2223287853393709,0.2252390710382514
"woe_enc,most_freq_imp,k_best_sel,under_samp,min_max_scale",0,accu_dp,12677,0.819641804720854,0.17334948962540445,0.5959691351340709,1.4772057141206882,0.20508954678362587,0.21187448255755767,0.1930281432748539,0.2026370990456281,0.20508954678362587
"target_enc,mean_imp,no_sel,under_samp,min_max_scale",1,accu_dp,12677,0.8191701318164897,0.16660718451660028,0.6076215940859158,1.4594968348272863,0.20278234649122825,0.20463151626537415,0.1994243421052633,0.2020926838107681,0.20278234649122825
"woe_enc,most_freq_imp,k_best_sel,under_samp,max_abs_scale",1,accu_dp,12677,0.8115787470760341,0.1812123332909051,0.5784227713903217,1.4549723596993278,0.2043128654970762,0.2136801219277001,0.18763706140350875,0.20094943956812136,0.2043128654970762
"target_enc,most_freq_imp,under_samp,no_scale,k_best_sel",1,accu_dp,12677,0.8232036345113689,0.15257130986592618,0.6749486898058825,1.4720251088444418,0.2137244152046785,0.2073529599488384,0.2243695175438596,0.21603581874228112,0.21372441520467847
"woe_enc,median_imp,no_sel,over_samp,no_scale",1,accu_dp,12677,0.7779423736500711,0.17533444044169058,0.5619369445830129,1.2419805699391389,0.18132399817850636,0.17373314531367778,0.19293602003643,0.1834627349579689,0.1813239981785064
"target_enc,mean_imp,no_sel,under_samp,no_scale",1,accu_dp,12677,0.8025145708025394,0.15875020841512075,0.64436559928338,1.3889888735359115,0.20776224415204692,0.19830005934390227,0.22327302631578946,0.21101499841125926,0.2077622441520469
