pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"onehot_enc,mean_imp,k_best_sel,no_samp,no_scale",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,0,"(0, 20)",38428
"onehot_enc,median_imp,min_max_scale,no_sel,no_samp",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,0,"(0, 20)",38428
"target_enc,mean_imp,quant_scale,under_samp,k_best_sel",0.1016780749441911,0.0,0.0223270440251572,0.0272338910644357,0.0516542876434841,0.0,0.026511869693294,0.0272338910644357,1.221223279820772,0,"(0, 20)",38428
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0.1000991345290192,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.217262788182509,0,"(0, 20)",38428
"count_enc,median_imp,under_samp,min_max_scale,no_sel",0.1093859525104454,0.0,0.0238515645507775,0.0263438946244215,0.050050727088265,0.0,0.0256677072493929,0.0263438946244214,1.240953297476659,0,"(0, 20)",38428
"ordinal_enc,median_imp,no_samp,no_scale,no_sel",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,0,"(0, 20)",38428
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0.099050832808837,0.0,0.0228704952054898,0.0275898896404414,0.0522941970310391,0.0,0.0268491252381777,0.0275898896404415,1.214591052813596,0,"(0, 20)",38428
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0.1027874517966987,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2240214040597917,0,"(0, 20)",38428
"target_enc,median_imp,min_max_scale,no_sel,under_samp",0.1088625776490959,0.0,0.0240607195164053,0.0259878960484157,0.0494077834179357,0.0,0.0253296321998611,0.0259878960484157,1.2398260266306649,0,"(0, 20)",38428
"onehot_enc,most_freq_imp,over_samp,norm_scale,k_best_sel",0.7200450450450451,0.1683630195080576,0.76202296187117,0.3725840023788284,0.4077502691065662,0.1819803746654772,0.3129370629370629,0.3725840023788284,-1.0,0,"(0, 20)",38428
"onehot_enc,mean_imp,k_best_sel,no_samp,no_scale",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,1,"(0, 20)",38428
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0.0974212649673813,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2105883109455589,1,"(0, 20)",38428
"woe_enc,mean_imp,min_max_scale,over_samp,k_best_sel",0.1017780986044042,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2214769341879572,1,"(0, 20)",38428
"count_enc,mean_imp,under_samp,no_scale,no_sel",0.1158430734579213,0.0012165450121654,0.0188915418246096,0.024563901744393,0.0465195246179965,0.0003559985760056,0.0239833159541187,0.024563901744393,1.2585327456314677,1,"(0, 20)",38428
"count_enc,median_imp,over_samp,max_abs_scale,k_best_sel",0.1014419774788231,0.0,0.0213663676837485,0.026910496580434,0.0510722347629797,0.0,0.0262052989720573,0.0269104965804342,1.2206314519735395,1,"(0, 20)",38428
"count_enc,median_imp,under_samp,min_max_scale,no_sel",0.1062981814093279,0.0,0.026442475819303,0.0274118903524386,0.051974350320621,0.0,0.0266805266805267,0.0274118903524385,1.2326735396085984,1,"(0, 20)",38428
"count_enc,mean_imp,under_samp,min_max_scale,no_sel",0.0997881382420702,0.0,0.0157927052588491,0.0265218939124243,0.0503718728870858,0.0,0.025836656840645,0.0265218939124243,1.216820770419982,1,"(0, 20)",38428
"onehot_enc,median_imp,min_max_scale,no_sel,no_samp",0.1044327247514843,0.0,0.0213663676837485,0.0293259883344134,0.0605351170568562,0.0,0.0312122779789618,0.0269104965804342,1.2512837759180453,1,"(0, 20)",38428
"target_enc,mean_imp,quant_scale,under_samp,k_best_sel",0.1068907693335098,0.0,0.0189453334190176,0.0275898896404414,0.0522941970310391,0.0,0.0268491252381777,0.0275898896404415,1.2339542500257028,1,"(0, 20)",38428
