pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10452817819174576,0.0,0.019404273966952802,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2286101264378366,0,"(0, 20)",6007
"count_enc,most_freq_imp,under_samp,no_scale,k_best_sel",0.10286683999229351,0.0005032712632108706,0.02478954322718424,0.02705589177643286,0.05103075363298415,0.0003559985760056561,0.026352288488210918,0.02705589177643286,1.2244475778742627,0,"(0, 20)",6007
"count_enc,most_freq_imp,no_samp,k_best_sel,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",6007
"onehot_enc,mean_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",6007
"onehot_enc,median_imp,norm_scale,over_samp,no_sel",0.6944444444444444,0.16960537363560033,0.7085102727710471,0.3415105560511448,0.37797619047619047,0.192090395480226,0.29711550898978145,0.3415105560511448,-1.0,0,"(0, 20)",6007
"count_enc,median_imp,k_best_sel,norm_scale,over_samp",0.5366234926306387,0.2792153589315526,0.6039031591236755,0.2949747249479632,0.2847330627536684,0.3187630092179602,0.30216265610721904,0.29497472494796306,-1.0,0,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,over_samp,quant_scale",0.11125751335707929,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2457073500491642,0,"(0, 20)",6007
"onehot_enc,median_imp,k_best_sel,over_samp,no_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,0,"(0, 20)",6007
"loo_enc,median_imp,k_best_sel,no_scale,no_samp",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,0,"(0, 20)",6007
"target_enc,mean_imp,no_sel,over_samp,quant_scale",0.10514842256479134,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2300058248180556,1,"(0, 20)",6007
"onehot_enc,most_freq_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",6007
"count_enc,most_freq_imp,k_best_sel,norm_scale,over_samp",0.5349877040017885,0.2797992471769134,0.6020855103853668,0.2933392804044008,0.2826766729205754,0.31787094855783526,0.30071635421429666,0.2933392804044008,-1.0,1,"(0, 20)",6007
"count_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.1031242338202612,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2248722485802046,1,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.10578011438843576,0.0,0.02686931989490459,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.2312944100243086,1,"(0, 20)",6007
"onehot_enc,median_imp,k_best_sel,over_samp,no_scale",0.11399059989581989,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.252835443574673,1,"(0, 20)",6007
"onehot_enc,mean_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,over_samp,quant_scale",0.10514842256479134,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2300058248180556,1,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,1,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10124812563836955,0.0,0.01795290089158806,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.220363567565863,1,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10447302490708815,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2282891749657296,2,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.10413557707022958,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2274329029077171,2,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10584969743139777,0.0,0.02070312709631371,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2317448340992265,2,"(0, 20)",6007
"onehot_enc,median_imp,k_best_sel,over_samp,no_scale",0.10582449160035368,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2317279767666989,2,"(0, 20)",6007
"onehot_enc,mean_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,2,"(0, 20)",6007
"onehot_enc,most_freq_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,2,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,2,"(0, 20)",6007
"count_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10357398031242804,0.00042087542087542086,0.02178724310462393,0.027059173357121602,0.05108664973186561,0.0002973535533750127,0.02635389516362585,0.027059173357121602,1.2260883420101893,2,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,over_samp,quant_scale",0.10481063996876538,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2291468142174262,2,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.10825647782169517,0.0,0.027740725414219146,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.2381642512077293,2,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.10152679959245209,0.0,0.01779671321139239,0.028479886080455707,0.05389019872010781,0.0,0.027691242644513614,0.028479886080455707,1.2201884321815637,3,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,3,"(0, 20)",6007
"count_enc,most_freq_imp,k_best_sel,over_samp,no_scale",0.10121730886502844,0.00042211903756859433,0.0217884867213171,0.027059173357121602,0.05108664973186561,0.0002973535533750127,0.02635389516362585,0.027059173357121602,1.2201428084779538,3,"(0, 20)",6007
"target_enc,most_freq_imp,under_samp,quant_scale,no_sel",0.10479484511072262,0.0,0.018840929703390054,0.027233891064435745,0.05165428764348412,0.0,0.026511869693294,0.027233891064435745,1.2289067123616706,3,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10379829614912617,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2265779939039636,3,"(0, 20)",6007
"count_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10303087252908716,0.0,0.02752910594824457,0.02705589177643286,0.051334008780817286,0.0,0.026343154246100564,0.027055891776432972,1.2247293595930613,3,"(0, 20)",6007
"count_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10289981730320547,0.00042122999157540015,0.021787597675323907,0.027059173357121602,0.05108664973186561,0.0002973535533750127,0.02635389516362585,0.027059173357121602,1.2243828869147708,3,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.10548637300516472,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2308662109387696,3,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10047042480419105,0.0,0.019170421238113515,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.2184593647878657,3,"(0, 20)",6007
"onehot_enc,most_freq_imp,no_samp,quant_scale,no_sel",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,3,"(0, 20)",6007
"count_enc,mean_imp,quant_scale,over_samp,no_sel",0.10177809860440423,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2214769341879572,4,"(0, 20)",6007
"target_enc,median_imp,k_best_sel,under_samp,quant_scale",0.10174567551948721,0.0,0.014803926940933645,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2216393138761672,4,"(0, 20)",6007
"target_enc,most_freq_imp,under_samp,no_scale,no_sel",0.10075545250115336,0.0,0.021507082152974505,0.027945888216447168,0.052933243425488885,0.0,0.02718614718614709,0.027945888216447057,1.2185940094056165,4,"(0, 20)",6007
"count_enc,most_freq_imp,k_best_sel,over_samp,quant_scale",0.10514842256479134,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2300058248180556,4,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.11017922399215235,0.0,0.024225789735156066,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2426748417327151,4,"(0, 20)",6007
"target_enc,most_freq_imp,under_samp,quant_scale,no_sel",0.1046961271456135,0.0,0.023209057445093766,0.02687789248843009,0.051013513513513464,0.0,0.026174380308545686,0.026877892488429977,1.2289016020579444,4,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.10887517738477026,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2395466549295775,4,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10077022830255111,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.218944475042852,4,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,4,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.09666360383291767,0.0,0.021047635148315272,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.2087308766369007,4,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10481063996876538,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2291468142174262,5,"(0, 20)",6007
"target_enc,median_imp,no_sel,under_samp,quant_scale",0.10603232679919311,0.0,0.023792869660330562,0.028835884656461364,0.05452709525412314,0.0,0.02802768166089964,0.028835884656461364,1.2312433117867196,5,"(0, 20)",6007
"target_enc,most_freq_imp,under_samp,quant_scale,k_best_sel",0.11203419988393809,0.0,0.020894375330227193,0.02474190103239582,0.047150610583446384,0.0,0.02414451971512943,0.02474190103239593,1.2485027728284102,5,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.09728028279357093,0.0,0.01427708080399298,0.026165895336418665,0.049729364005412724,0.0,0.025498699045967133,0.026165895336418665,1.210811304072243,5,"(0, 20)",6007
"target_enc,median_imp,k_best_sel,under_samp,quant_scale",0.09862444116721453,0.0,0.01830425992405489,0.02652189391242432,0.05037187288708589,0.0,0.025836656840645067,0.02652189391242432,1.2139899826249378,5,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10204226782741421,0.0,0.01831212332827966,0.027233891064435745,0.05165428764348412,0.0,0.026511869693294,0.027233891064435745,1.222071248762656,5,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,5,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.11023547755024365,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2430584205985273,5,"(0, 20)",6007
"onehot_enc,most_freq_imp,under_samp,no_scale,no_sel",0.10836954279300426,0.0,0.023810902322549385,0.027767888928444284,0.05261382799325465,0.0,0.02701766539660544,0.027767888928444284,1.237637138295514,5,"(0, 20)",6007
"count_enc,mean_imp,quant_scale,over_samp,no_sel",0.10989514447423293,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2421783301342058,5,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,no_scale,k_best_sel",0.10887517738477026,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2395466549295775,6,"(0, 20)",6007
"onehot_enc,most_freq_imp,under_samp,no_scale,no_sel",0.09770609425195925,0.0,0.01865312984857577,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.21165892934951,6,"(0, 20)",6007
"target_enc,median_imp,no_scale,under_samp,k_best_sel",0.10190337165447355,0.0,0.01839144301677361,0.02634389462442155,0.05005072708826508,0.0,0.025667707249392935,0.026343894624421438,1.222163470766335,6,"(0, 20)",6007
"target_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0.09976383265856953,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2164239186123107,6,"(0, 20)",6007
"target_enc,median_imp,quant_scale,under_samp,k_best_sel",0.10176414992741656,0.0,0.01637850391922841,0.02705589177643286,0.051334008780817286,0.0,0.026343154246100564,0.027055891776432972,1.2214453481159318,6,"(0, 20)",6007
"target_enc,most_freq_imp,under_samp,quant_scale,k_best_sel",0.10559321822432083,0.0,0.021488520265683674,0.026699893200427205,0.0506928016221696,0.0,0.026005547850207922,0.026699893200427205,1.2312064223316344,6,"(0, 20)",6007
"count_enc,mean_imp,no_sel,over_samp,quant_scale",0.1068398594265576,0.0,0.021366367683748506,0.026910496580434096,0.05107223476297973,0.0,0.026205298972057367,0.026910496580434207,1.2343215946064017,6,"(0, 20)",6007
"target_enc,most_freq_imp,no_sel,under_samp,quant_scale",0.11149932378364075,0.0,0.024412201824072187,0.027767888928444284,0.05261382799325465,0.0,0.02701766539660544,0.027767888928444284,1.245530266114784,6,"(0, 20)",6007
"target_enc,median_imp,no_sel,under_samp,quant_scale",0.11085213568464541,0.0,0.02511112514409075,0.0275898896404414,0.0522941970310391,0.0,0.02684912523817773,0.02758988964044151,1.244002851264237,6,"(0, 20)",6007
"woe_enc,median_imp,no_sel,no_samp,min_max_scale",0.10443272475148435,0.0,0.021366367683748506,0.029325988334413466,0.060535117056856214,0.0,0.031212277978961867,0.026910496580434207,1.2512837759180453,6,"(0, 20)",6007
