pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,reps,seed
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.22677084479659582,0.19511660136192782,0.3805487834207285,0.31714285714285717,0.3128654970760234,0.3285714285714286,0.32080924855491333,0.31714285714285717,0.598193103896526,0,accu_dp,12157
"count_enc,median_imp,no_sel,max_abs_scale,no_samp",0.08807854137447402,0.05119692120559527,0.18381616324411776,0.29400000000000004,0.2650462962962963,0.09285714285714286,0.1879795396419437,0.4280952380952381,0.9011801730920536,0,accu_dp,12157
"target_enc,most_freq_imp,no_scale,under_samp,no_sel",0.12402411057782675,0.0492063492063492,0.18245002085244172,0.2816666666666666,0.2838283828382838,0.2766666666666666,0.28026533996683256,0.2816666666666666,0.7729056240104634,0,accu_dp,12157
"count_enc,mean_imp,max_abs_scale,k_best_sel,no_samp",0.08532024310425435,0.051266712529536684,0.17600853490332985,0.29100000000000004,0.26628571428571424,0.08285714285714285,0.18476190476190468,0.4297619047619047,0.9053521418939944,0,accu_dp,12157
"target_enc,mean_imp,no_sel,over_samp,no_scale",0.1519351295470699,0.10756837057198976,0.22558301548947027,0.29500000000000004,0.2923299565846599,0.3014285714285714,0.29690869877785764,0.29499999999999993,0.7205585264408794,0,accu_dp,12157
"onehot_enc,mean_imp,no_sel,no_scale,under_samp",0.22207749918593295,0.17504699248120303,0.3462848040955937,0.30000000000000004,0.2931034482758621,0.31666666666666665,0.30508474576271183,0.29999999999999993,0.5975451433966718,0,accu_dp,12157
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0.14923631514242253,0.09471679677763489,0.20955772420406166,0.25857142857142856,0.24471299093655585,0.2857142857142857,0.26578560939794416,0.25857142857142856,0.7139890579449703,0,accu_dp,12157
"loo_enc,mean_imp,quant_scale,no_sel,under_samp",0.1162047586918053,0.031746031746031744,0.1440472950151609,0.28,0.277027027027027,0.2866666666666666,0.2818791946308724,0.28,0.781040107464978,0,accu_dp,12157
"ordinal_enc,most_freq_imp,no_sel,over_samp,no_scale",0.11919524677922233,0.05878423513694053,0.17680983191577285,0.2907142857142857,0.29041487839771096,0.2914285714285715,0.29092208720514645,0.2907142857142857,0.7781063144753269,0,accu_dp,12157
"woe_enc,median_imp,k_best_sel,no_scale,no_samp",0.11351098644226265,0.0660525030159822,0.19895994333492162,0.238,0.20685279187817263,0.1071428571428571,0.15994623655913975,0.3252380952380952,0.8621081326669696,0,accu_dp,12157
"count_enc,median_imp,no_sel,max_abs_scale,under_samp",0.2157706458224593,0.21957671957671954,0.3698240897674107,0.31833333333333336,0.31399317406143346,0.32999999999999996,0.3220910623946037,0.31833333333333336,0.6131336878866038,1,accu_dp,12157
"loo_enc,mean_imp,quant_scale,no_sel,no_samp",0.11706404862085085,0.08996101656048416,0.1835774246492492,0.238,0.2053571428571429,0.10999999999999999,0.160377358490566,0.32333333333333325,0.8572894106918956,1,accu_dp,12157
"count_enc,median_imp,no_sel,max_abs_scale,over_samp",0.2280475606347271,0.17417920417950328,0.39026312026341936,0.3264285714285714,0.32568149210903874,0.3285714285714286,0.32712956335003573,0.3264285714285715,0.6019764694497979,1,accu_dp,12157
"ordinal_enc,most_freq_imp,no_sel,no_samp,no_scale",0.10687237026647967,0.06694982003808612,0.20235497878730557,0.276,0.23697270471464016,0.12142857142857144,0.1832669322709164,0.3790476190476191,0.872639144242019,1,accu_dp,12157
"target_enc,most_freq_imp,no_scale,under_samp,no_sel",0.09165181224004759,0.023106546854942234,0.13929848690969987,0.30166666666666664,0.3023255813953488,0.30000000000000004,0.3011647254575708,0.30166666666666675,0.8279899637580149,1,accu_dp,12157
"loo_enc,mean_imp,quant_scale,no_sel,under_samp",0.053206933776724474,0.039867795909935944,0.13382043532585408,0.2866666666666666,0.28378378378378377,0.29333333333333333,0.28859060402684555,0.28666666666666674,0.8959450605450265,1,accu_dp,12157
"ordinal_enc,most_freq_imp,no_sel,over_samp,no_scale",0.18328871218558124,0.13161646676437452,0.2755495789810688,0.2835714285714286,0.28326180257510725,0.28428571428571425,0.2837741243745532,0.2835714285714286,0.6731000171556013,1,accu_dp,12157
"woe_enc,median_imp,k_best_sel,no_scale,no_samp",0.11351098644226265,0.0660525030159822,0.19895994333492162,0.238,0.20685279187817263,0.1071428571428571,0.15994623655913975,0.3252380952380952,0.8621081326669696,1,accu_dp,12157
"count_enc,mean_imp,k_best_sel,over_samp,max_abs_scale",0.2503393125710723,0.23201627134866748,0.4321788856327754,0.32285714285714284,0.32132564841498557,0.3271428571428572,0.3242467718794835,0.32285714285714284,0.5679328901551123,1,accu_dp,12157
"woe_enc,mean_imp,no_scale,over_samp,k_best_sel",0.18728029602220164,0.15538539766099363,0.29548468061741945,0.2807142857142857,0.26847662141779793,0.30714285714285716,0.2883345561261922,0.2807142857142857,0.650012965684156,1,accu_dp,12157
"loo_enc,median_imp,quant_scale,no_sel,no_samp",0.11561477325853198,0.07897386813427851,0.19223579233813073,0.241,0.2068965517241379,0.11285714285714288,0.16250842886041805,0.3264285714285715,0.8588067370825008,2,accu_dp,12157
"woe_enc,mean_imp,k_best_sel,no_scale,no_samp",0.13833567087424026,0.0849858921823747,0.25718436473148854,0.241,0.20912547528517111,0.10857142857142854,0.16185359301544666,0.3292857142857143,0.8337079914577948,2,accu_dp,12157
"target_enc,most_freq_imp,no_scale,under_samp,no_sel",0.10809588421528721,0.027264497577080826,0.15263074955844397,0.30333333333333334,0.30201342281879195,0.30666666666666664,0.30434782608695643,0.30333333333333334,0.7969413763806287,2,accu_dp,12157
