pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"woe_enc,mean_imp,no_sel,quant_scale,no_samp",0.2035496236920914,0.2174892653865339,0.3168644498011859,0.1678388255888947,0.3092485549132948,0.4513454916464736,0.3884426753855995,0.2646290565028485,0.2128932918809808,0,"(0, 20)",52582
"target_enc,median_imp,over_samp,no_sel,quant_scale",0.3882134222462468,0.1969215018903846,0.4342499824812524,0.2006877022653721,0.210592192756004,0.1835760517799353,0.1973113789126197,0.2006877022653722,0.3754226403198795,0,"(0, 20)",52582
"target_enc,mean_imp,over_samp,quant_scale,k_best_sel",0.4047746627851318,0.2201643016961843,0.471674241452962,0.2049959546925566,0.2174873125944292,0.1828883495145631,0.2005620089842281,0.2049959546925567,0.3577743164560506,0,"(0, 20)",52582
"onehot_enc,most_freq_imp,over_samp,no_sel,max_abs_scale",0.3857245914461596,0.1744240653772684,0.4101687300877248,0.1868932038834951,0.2041736737501911,0.1576860841423948,0.1815894976809999,0.1868932038834952,0.3911388554784045,0,"(0, 20)",52582
"onehot_enc,mean_imp,under_samp,no_sel,norm_scale",0.252534779533129,0.5589482612383376,0.7388960078092064,0.3423670450197679,0.3115853658536586,0.4240530544573396,0.3728213318519547,0.3423670450197679,-1.0,0,"(0, 20)",52582
"onehot_enc,median_imp,k_best_sel,no_scale,over_samp",0.4610683663999123,0.3157216416714333,0.6165634104819484,0.2062095469255663,0.2282507015902712,0.1656553398058252,0.1981728059092233,0.2062095469255664,0.3064771323393239,0,"(0, 20)",52582
"onehot_enc,most_freq_imp,no_sel,over_samp,no_scale",0.3783864351274202,0.1641742511376516,0.3933419009815855,0.1879449838187702,0.2015398901183935,0.1651699029126213,0.1837598386267454,0.1879449838187701,0.39456157061109,0,"(0, 20)",52582
"woe_enc,most_freq_imp,over_samp,quant_scale,no_sel",0.3891135350898986,0.2091990418330034,0.4418236532115142,0.1995550161812297,0.2101545426162971,0.1812702265372168,0.1959717146035277,0.1995550161812296,0.3756097197995321,0,"(0, 20)",52582
"count_enc,median_imp,quant_scale,k_best_sel,under_samp",0.4111923441191186,0.3026420020732069,0.5428757450753813,0.2160438719551077,0.2216527065883236,0.2059686264507078,0.2138888888888889,0.2160438719551077,0.3355136327523068,0,"(0, 20)",52582
"ordinal_enc,median_imp,no_samp,k_best_sel,norm_scale",0.0680531055612292,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.3992342188124904,-1.0,0,"(0, 20)",52582
"onehot_enc,median_imp,under_samp,no_sel,norm_scale",0.1708235294117647,0.5597964376590331,0.6272011918107752,0.2589593164137227,0.237936772046589,0.2990689963014922,0.2697801102770212,0.2589593164137227,-1.0,1,"(0, 20)",52582
"ordinal_enc,mean_imp,no_samp,k_best_sel,norm_scale",9.284189026088572e-05,1.0,1.0001042535446203,0.2409324037959522,1.0,1.0,1.0,0.5000809061488674,-1.0,1,"(0, 20)",52582
"onehot_enc,mean_imp,under_samp,no_sel,norm_scale",0.2582718400380862,0.5411365564037319,0.7211497926711046,0.3407728606045147,0.3106899166034874,0.4202270118607321,0.3701856469936271,0.3407728606045146,-1.0,1,"(0, 20)",52582
