pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,acc_dp_reps,seed
"count_enc,mean_imp,norm_scale,no_samp,k_best_sel",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,0,"(0, 20)",55303
"onehot_enc,mean_imp,no_sel,min_max_scale,over_samp",0.7840013381716888,0.6078588119542492,1.3061019268640308,0.1985428051001821,0.1963302752293577,0.2021857923497267,0.1992687385740402,0.1985428051001823,0.1782371294851794,0,"(0, 20)",55303
"ordinal_enc,mean_imp,over_samp,min_max_scale,no_sel",0.8350946412475978,0.6927453992538483,1.5187188085605907,0.2140255009107468,0.2113970588235294,0.2185792349726776,0.2150045745654162,0.2140255009107468,0.1464705984599607,0,"(0, 20)",55303
"ordinal_enc,median_imp,max_abs_scale,no_samp,k_best_sel",0.9054355385311682,0.836043627200063,1.676736884559987,0.1997755331088664,0.2484662576687116,0.283625730994152,0.2664670658682634,0.2155833573003547,0.0491412739171009,0,"(0, 20)",55303
"woe_enc,median_imp,no_sel,over_samp,norm_scale",0.2952086553323029,0.4636871508379888,0.6666786038294419,0.2923497267759563,0.27734375,0.326047358834244,0.3025447690857681,0.2923497267759563,-1.0,0,"(0, 20)",55303
"ordinal_enc,median_imp,quant_scale,under_samp,k_best_sel",0.8168316831683169,0.6788990825688074,1.5466956927382989,0.2339181286549707,0.2429378531073446,0.216374269005848,0.2298850574712644,0.2339181286549707,0.1831683168316831,0,"(0, 20)",55303
"target_enc,median_imp,no_sel,no_samp,max_abs_scale",0.8912450739052203,0.8311611607670197,1.6020538483263738,0.1885521885521885,0.228125,0.2777777777777778,0.2537764350453172,0.2053734061930783,0.0481260095025878,0,"(0, 20)",55303
"ordinal_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.8921337027674442,0.8317517817065008,1.6515523515070707,0.2042648709315375,0.2560975609756097,0.2865497076023392,0.2716417910447761,0.2197775860416068,0.056801405154958,0,"(0, 20)",55303
"onehot_enc,median_imp,no_sel,quant_scale,over_samp",0.8011227080586167,0.6433854133316258,1.3964718330847123,0.2067395264116576,0.215547703180212,0.1912568306010929,0.2035874439461883,0.2067395264116576,0.1778412470908287,0,"(0, 20)",55303
"woe_enc,median_imp,min_max_scale,under_samp,no_sel",0.8472546548822291,0.6379099893688231,1.5362661537523847,0.2002923976608187,0.1958456973293768,0.2076023391812865,0.2017673048600883,0.2002923976608186,0.1436676166726042,0,"(0, 20)",55303
"onehot_enc,median_imp,quant_scale,over_samp,no_sel",0.7941939762929202,0.6276295576386495,1.3688451321875572,0.2058287795992713,0.2068965517241379,0.2040072859744991,0.2054545454545455,0.2058287795992713,0.1736813235424223,1,"(0, 20)",55303
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.1178509532062391,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.3386540120793788,-1.0,1,"(0, 20)",55303
"count_enc,median_imp,no_sel,quant_scale,over_samp",0.8178288755458515,0.6395348837209303,1.4854513129706928,0.214936247723133,0.2230088495575221,0.2003642987249544,0.2118491921005385,0.214936247723133,0.1749655837004405,1,"(0, 20)",55303
"onehot_enc,mean_imp,norm_scale,no_samp,k_best_sel",0.194107452339688,0.6055045871559633,0.7529404845918608,0.3097643097643098,0.3636363636363636,0.5497076023391814,0.4726027397260274,0.3549995206595725,-1.0,1,"(0, 20)",55303
"onehot_enc,mean_imp,over_samp,min_max_scale,no_sel",0.7746668673215312,0.5658207409212771,1.2946906364578394,0.1976320582877959,0.2025089605734766,0.1894353369763205,0.1960252935862692,0.1976320582877959,0.195197350654519,1,"(0, 20)",55303
"ordinal_enc,mean_imp,no_sel,min_max_scale,over_samp",0.8346321679757688,0.7266721341352287,1.5564442139073085,0.2331511839708561,0.225140712945591,0.2477231329690346,0.2365988909426986,0.2331511839708561,0.1445964432284542,1,"(0, 20)",55303
"onehot_enc,median_imp,no_sel,quant_scale,over_samp",0.80212690824143,0.6629394995248654,1.3875358907879234,0.2076502732240437,0.2087114337568058,0.2058287795992713,0.2072727272727272,0.2076502732240436,0.167503030644752,1,"(0, 20)",55303
"ordinal_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.8921337027674442,0.8317517817065008,1.6515523515070707,0.2042648709315375,0.2560975609756097,0.2865497076023392,0.2716417910447761,0.2197775860416068,0.056801405154958,1,"(0, 20)",55303
