pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,opt_metric,seed
"loo_enc,median_imp,norm_scale,k_best_sel,over_samp",0.34006211180124224,0.38636363636363635,0.6235431235431235,0.31785063752276865,0.2975708502024291,0.3679417122040073,0.33461169702780436,0.31785063752276876,-1.0,0,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,no_samp,no_scale,no_sel",0.8316683040987316,0.7540654408000945,1.4193076060422598,0.18630751964085301,0.23006134969325154,0.26608187134502925,0.24850299401197595,0.20134694660147634,0.08047941025703614,0,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,no_sel,no_samp,min_max_scale",0.8762101358884633,0.8128125369138087,1.552603610038215,0.1874298540965208,0.22910216718266252,0.27192982456140347,0.2511278195488722,0.20336017639727733,0.05777403195555661,0,"(1, 0, 0, 0)",28222
"count_enc,median_imp,no_samp,k_best_sel,no_scale",0.843844175341377,0.7357168169468835,1.4707595519896186,0.19304152637485972,0.24702380952380953,0.26023391812865493,0.2536873156342182,0.20570894449237842,0.08632044463037111,0,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,0,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.29583975346687214,0.4972375690607735,0.7130495348727393,0.3160291438979964,0.2963709677419355,0.3642987249544627,0.3320574162679426,0.3160291438979964,-1.0,0,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,no_sel,quant_scale",0.8684863523573201,0.6972477064220184,1.6292204955376648,0.21052631578947367,0.20359281437125754,0.2222222222222222,0.21301775147928992,0.21052631578947367,0.1315136476426799,0,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.22685185185185186,0.5666666666666667,0.7141025641025641,0.23588342440801457,0.2508591065292096,0.20582877959927137,0.229000884173298,0.23588342440801446,-1.0,0,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_sel,norm_scale,over_samp",0.289922480620155,0.4971751412429379,0.7065768506446473,0.30601092896174864,0.28910891089108914,0.3460837887067395,0.31878557874762814,0.30601092896174853,-1.0,0,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,max_abs_scale,under_samp,no_sel",0.8242260252310504,0.6195613655156121,1.4679650999283562,0.20467836257309946,0.20639534883720934,0.20175438596491224,0.20408163265306123,0.20467836257309946,0.16110803125950035,0,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,norm_scale,k_best_sel,under_samp",0.3358395989974937,0.41284403669724773,0.6542233470420753,0.33333333333333337,0.31000000000000005,0.39473684210526316,0.3551401869158878,0.33333333333333337,-1.0,1,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,max_abs_scale,over_samp,no_sel",0.8096218567871508,0.5715025591030953,1.4022243064915094,0.192167577413479,0.19272727272727275,0.1912568306010929,0.19199272065514095,0.192167577413479,0.17027466595628338,1,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,no_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30527497194163866,0.36,0.5321637426900585,0.45945945945945954,0.34804908445978333,-1.0,1,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,k_best_sel,quant_scale",0.8189788732394366,0.6422018348623854,1.512628355986299,0.2222222222222222,0.23163841807909602,0.20467836257309946,0.2183908045977011,0.2222222222222222,0.17812720848056537,1,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,1,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.2783018867924528,0.5357142857142857,0.7472527472527473,0.3087431693989071,0.28915662650602414,0.35519125683060104,0.3237822349570201,0.3087431693989071,-1.0,1,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.2897196261682243,0.5,0.7115384615384616,0.30692167577413476,0.2888446215139442,0.3497267759562842,0.3206470028544244,0.30692167577413476,-1.0,1,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.1640625,0.7034883720930233,0.8188729874776387,0.23861566484517305,0.24144144144144142,0.2331511839708561,0.2373188405797102,0.23861566484517316,-1.0,1,"(1, 0, 0, 0)",28222
"count_enc,median_imp,no_samp,k_best_sel,no_scale",0.843844175341377,0.7357168169468835,1.4707595519896186,0.19304152637485972,0.24702380952380953,0.26023391812865493,0.2536873156342182,0.20570894449237842,0.08632044463037111,1,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,1,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,2,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,2,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,norm_scale,k_best_sel,under_samp",0.3207070707070707,0.43119266055045874,0.6576734967873925,0.32456140350877194,0.2931034482758621,0.4005847953216374,0.3512658227848101,0.32456140350877183,-1.0,2,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.2764612954186414,0.509090909090909,0.7099456099456098,0.3014571948998178,0.27935222672064774,0.35154826958105645,0.3173537871524448,0.3014571948998178,-1.0,2,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.18935837245696402,0.6608187134502924,0.795434098065677,0.2404371584699454,0.2504378283712785,0.22040072859744986,0.23571428571428565,0.2404371584699453,-1.0,2,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,k_best_sel,quant_scale",0.7547525859658932,0.5577036657872977,1.342934545586064,0.23245614035087714,0.2407932011331445,0.216374269005848,0.22877697841726619,0.23245614035087714,0.2043763353716938,2,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,no_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30527497194163866,0.36,0.5321637426900585,0.45945945945945954,0.34804908445978333,-1.0,2,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,under_samp,norm_scale,no_sel",0.3034825870646766,0.48623853211009177,0.7114945048063375,0.32456140350877194,0.3026315789473685,0.3801169590643275,0.3436532507739939,0.32456140350877194,-1.0,2,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.3012232415902141,0.4731182795698925,0.6846567411083541,0.29872495446265934,0.2811881188118812,0.3387978142076503,0.31119544592030357,0.29872495446265934,-1.0,2,"(1, 0, 0, 0)",28222
"count_enc,median_imp,no_samp,k_best_sel,no_scale",0.843844175341377,0.7357168169468835,1.4707595519896186,0.19304152637485972,0.24702380952380953,0.26023391812865493,0.2536873156342182,0.20570894449237842,0.08632044463037111,2,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,no_samp,norm_scale,no_sel",0.1854419410745234,0.6146788990825688,0.7535677879714577,0.303030303030303,0.3548387096774194,0.5321637426900585,0.4576271186440678,0.346227590835011,-1.0,3,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0.33668341708542715,0.43119266055045874,0.6803276086473445,0.3450292397660819,0.32450331125827814,0.4035087719298246,0.36645962732919257,0.3450292397660818,-1.0,3,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,3,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.2132921174652241,0.5977653631284916,0.7387910041541326,0.24316939890710387,0.25435540069686413,0.22040072859744986,0.2377560106856632,0.24316939890710376,-1.0,3,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,k_best_sel,quant_scale",0.8446115288220551,0.6972477064220184,1.5972477064220185,0.22953216374269003,0.2334293948126801,0.2222222222222222,0.22786647314949193,0.22953216374269014,0.15538847117794485,3,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,3,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.2888198757763975,0.5,0.7094017094017094,0.3041894353369763,0.28628230616302186,0.3460837887067395,0.31749049429657794,0.3041894353369764,-1.0,3,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.2894736842105263,0.48314606741573035,0.6861375204071833,0.29872495446265934,0.27855711422845686,0.34426229508196726,0.3129770992366413,0.29872495446265945,-1.0,3,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,norm_scale,k_best_sel,under_samp",0.3349875930521092,0.43119266055045874,0.6794919802783499,0.3391812865497076,0.31666666666666665,0.4005847953216374,0.36137071651090336,0.3391812865497075,-1.0,3,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.22018348623853212,0.5967741935483871,0.7442100909842846,0.24408014571949,0.2573402417962003,0.21675774134790526,0.23758865248226946,0.24408014571948988,-1.0,3,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,no_samp,norm_scale,no_sel",0.1854419410745234,0.6146788990825688,0.7535677879714577,0.303030303030303,0.3548387096774194,0.5321637426900585,0.4576271186440678,0.346227590835011,-1.0,4,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,4,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.2890995260663507,0.4909090909090909,0.7024475524475524,0.31056466302367947,0.2944664031620553,0.3497267759562842,0.3232227488151659,0.31056466302367935,-1.0,4,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.19754977029096477,0.6648648648648648,0.808027258027258,0.2513661202185792,0.2592592592592593,0.23497267759562845,0.24731182795698925,0.2513661202185793,-1.0,4,"(1, 0, 0, 0)",28222
