pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_ratio,seed
"loo_enc,mean_imp,max_abs_scale,under_samp,k_best_sel",0.8011332336507437,0.6336181438752609,1.4178580661676359,0.2192982456140351,0.22413793103448276,0.21052631578947367,0.21739130434782594,0.2192982456140351,0.17329868442423257,0,"(0, 10)",42505
"target_enc,median_imp,min_max_scale,over_samp,k_best_sel",0.7958379120879121,0.552220259304728,1.3986115223626576,0.20127504553734066,0.2102473498233216,0.18579234972677594,0.19820627802690582,0.20127504553734066,0.1933588583362339,0,"(0, 10)",42505
"ordinal_enc,median_imp,quant_scale,no_sel,over_samp",0.8311775930216709,0.6979667856588546,1.5460199670453694,0.2258652094717668,0.22686025408348454,0.22404371584699456,0.22545454545454546,0.22586520947176691,0.155978603112652,0,"(0, 10)",42505
"loo_enc,most_freq_imp,under_samp,min_max_scale,no_sel",0.7992058193063218,0.583454738748671,1.3752546995765094,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.1718374481101158,0,"(0, 10)",42505
"loo_enc,median_imp,under_samp,min_max_scale,no_sel",0.8323377140581443,0.6103870535890066,1.5109452204515212,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.19883040935672514,0.16165262735659847,0,"(0, 10)",42505
"ordinal_enc,most_freq_imp,no_sel,no_samp,min_max_scale",0.8733069136429368,0.8415167145725873,1.5995888893114287,0.20314253647586977,0.24764890282131657,0.29824561403508776,0.27382753403933435,0.2210718051960502,0.054419410745233966,0,"(0, 10)",42505
"loo_enc,mean_imp,k_best_sel,quant_scale,under_samp",0.8639788732394367,0.7155963302752294,1.6203871125675278,0.2192982456140351,0.2142857142857143,0.22807017543859653,0.22123893805309747,0.2192982456140351,0.13296819787985867,0,"(0, 10)",42505
"woe_enc,mean_imp,no_scale,over_samp,no_sel",0.7801105349344979,0.5570137560915428,1.245997611742065,0.17941712204007287,0.17041198501872656,0.19307832422586524,0.1819021237303785,0.17941712204007287,0.17101943155452437,0,"(0, 10)",42505
"target_enc,most_freq_imp,over_samp,quant_scale,k_best_sel",0.829192546583851,0.6704545454545454,1.5593434343434343,0.22859744990892528,0.2358156028368794,0.21493624772313302,0.22551662174303688,0.22859744990892528,0.17080745341614906,0,"(0, 10)",42505
"onehot_enc,most_freq_imp,max_abs_scale,no_samp,no_sel",0.8481548532382519,0.7394180415009647,1.4196174717003949,0.1717171717171717,0.20923076923076922,0.2485380116959064,0.2293853073463269,0.18619978909021184,0.07205357520274881,0,"(0, 10)",42505
"loo_enc,mean_imp,under_samp,quant_scale,k_best_sel",0.8737623762376238,0.7522935779816514,1.6709376457782614,0.22368421052631582,0.21450151057401812,0.23976608187134507,0.22734026745913816,0.22368421052631593,0.12623762376237624,1,"(0, 10)",42505
