pre_task,fair_metric,fair_value
Mean,dp,0.17879042761015845
Median,dp,0.17580781628982153
Most Frequent,dp,0.17697670235792196
Mean,eo,0.11918514226464583
Median,eo,0.14003594387226093
Most Frequent,eo,0.10552086841628022
Mean,eqOdds,0.19259977412648574
Median,eqOdds,0.21445463755346716
Most Frequent,eqOdds,0.17770143506860644
Mean,accu,0.15678746928746934
Median,accu,0.15171990171990168
Most Frequent,accu,0.15233415233415237
Mean,dp,0.1675005622250033
Median,dp,0.18878290754481145
Most Frequent,dp,0.16453992487250602
Mean,eo,0.11602521181530223
Median,eo,0.15155570320041117
Most Frequent,eo,0.06572492423933574
Mean,eqOdds,0.1795721966860913
Median,eqOdds,0.2373128599979803
Most Frequent,eqOdds,0.1384470266083736
Mean,accu,0.15417690417690422
Median,accu,0.15832309582309578
Most Frequent,accu,0.1546375921375921
Mean,dp,0.18316734167667192
Median,dp,0.1955733912474759
Most Frequent,dp,0.19225627598301126
Mean,eo,0.09748997900362666
Median,eo,0.12603684556175637
Most Frequent,eo,0.14387766859249745
Mean,eqOdds,0.18924174240527758
Median,eqOdds,0.21657049360555325
Most Frequent,eqOdds,0.23265519087338685
Mean,accu,0.16246928746928746
Median,accu,0.16554054054054057
Most Frequent,accu,0.16170147420147418
Mean,dp,0.17337908761373638
Median,dp,0.18946877912395152
Most Frequent,dp,0.17607852673885896
Mean,eo,0.0842799442815762
Median,eo,0.15284236951685187
Most Frequent,eo,0.14859405300581774
Mean,eqOdds,0.1630376784483069
Median,eqOdds,0.2315355525229123
Most Frequent,eqOdds,0.21356759117267915
Mean,accu,0.15586609336609336
Median,accu,0.15049140049140053
Most Frequent,accu,0.15064496314496312
Mean,dp,0.17626754996679936
Median,dp,0.17785660935849845
Most Frequent,dp,0.18074374202481544
Mean,eo,0.1396071876841108
Median,eo,0.060274995535786746
Most Frequent,eo,0.12216898954703836
Mean,eqOdds,0.20390722110698783
Median,eqOdds,0.14391208666587574
Most Frequent,eqOdds,0.19634608056765307
Mean,accu,0.14910933660933656
Median,accu,0.15970515970515975
Most Frequent,accu,0.1512592137592138
Mean,dp,0.18054036179374222
Median,dp,0.19018521480438885
Most Frequent,dp,0.18073915491170894
Mean,eo,0.12402631014152438
Median,eo,0.1664892484564615
Most Frequent,eo,0.12530864197530867
Mean,eqOdds,0.2026112055573865
Median,eqOdds,0.24719767482367125
Most Frequent,eqOdds,0.20806134428136808
Mean,accu,0.15863022113022118
Median,accu,0.1581695331695332
Most Frequent,accu,0.15740171990171992
Mean,dp,0.17021402125676566
Median,dp,0.18170884876060475
Most Frequent,dp,0.1658892875145943
Mean,eo,0.08599968030979793
Median,eo,0.19154942029351585
Most Frequent,eo,0.10205204460966544
Mean,eqOdds,0.16635605011556504
Median,eqOdds,0.26965156040443417
Most Frequent,eqOdds,0.16795782373946697
Mean,accu,0.1615479115479116
Median,accu,0.1577088452088452
Most Frequent,accu,0.14987714987714984
Mean,dp,0.182303292821397
Median,dp,0.19006580995612093
Most Frequent,dp,0.16986166226580357
Mean,eo,0.13897344454505284
Median,eo,0.15182521220115802
Most Frequent,eo,0.10874242513965382
Mean,eqOdds,0.22696444982559796
Median,eqOdds,0.24051382095137191
Most Frequent,eqOdds,0.18366681853647793
Mean,accu,0.1546375921375921
Median,accu,0.15617321867321865
Most Frequent,accu,0.15648034398034394
Mean,dp,0.19601282338790244
Median,dp,0.17720373304710418
Most Frequent,dp,0.1776845927379576
Mean,eo,0.20079200079200082
Median,eo,0.16460842371415263
Most Frequent,eo,0.1343392135471343
Mean,eqOdds,0.28234383095076365
Median,eqOdds,0.23119145852505804
Most Frequent,eqOdds,0.2100179678632439
Mean,accu,0.1549447174447175
Median,accu,0.1514127764127764
Most Frequent,accu,0.15509828009828008
Mean,dp,0.17824297427435407
Median,dp,0.17939251196083322
Most Frequent,dp,0.1746514867002475
Mean,eo,0.18292767179413244
Median,eo,0.1087502091350176
Most Frequent,eo,0.12273174163920836
Mean,eqOdds,0.24835494458273233
Median,eqOdds,0.17792898053523987
Most Frequent,eqOdds,0.20040467089048447
Mean,accu,0.15202702702702697
Median,accu,0.1580159705159705
Most Frequent,accu,0.15356265356265353
Mean,dp,0.1851651765126094
Median,dp,0.1934232026143791
Most Frequent,dp,0.17487679730656475
Mean,eo,0.12574521131905508
Median,eo,0.15965172575355302
Most Frequent,eo,0.12320166929018556
Mean,eqOdds,0.20215622390143134
Median,eqOdds,0.2388897603409768
Most Frequent,eqOdds,0.19331566932906324
Mean,accu,0.1581695331695332
Median,accu,0.15171990171990168
Most Frequent,accu,0.15863022113022118
Mean,dp,0.1827099836652346
Median,dp,0.1768780434192253
Most Frequent,dp,0.18138952332619937
Mean,eo,0.15844097662958256
Median,eo,0.13242380261248182
Most Frequent,eo,0.12807397206374188
Mean,eqOdds,0.22922258944558527
Median,eqOdds,0.20873959208616605
Most Frequent,eqOdds,0.21105248952838432
Mean,accu,0.15371621621621623
Median,accu,0.15264127764127766
Most Frequent,accu,0.1581695331695332
Mean,dp,0.16852762257841378
Median,dp,0.1822580161934619
Most Frequent,dp,0.18077434463962733
Mean,eo,0.11269326324867046
Median,eo,0.12402476408006247
Most Frequent,eo,0.11089452025124541
Mean,eqOdds,0.18647221093742006
Median,eqOdds,0.20716136865069731
Most Frequent,eqOdds,0.19222776029368824
Mean,accu,0.15709459459459463
Median,accu,0.15310196560196565
Most Frequent,accu,0.15509828009828008
Mean,dp,0.17002095796688993
Median,dp,0.1856065711043171
Most Frequent,dp,0.17048932109230885
Mean,eo,0.13892337276666183
Median,eo,0.11460506706408347
Most Frequent,eo,0.15336424048837316
Mean,eqOdds,0.20697567856657406
Median,eqOdds,0.2032011227945581
Most Frequent,eqOdds,0.21983663341324994
Mean,accu,0.15601965601965606
Median,accu,0.1647727272727273
Most Frequent,accu,0.15233415233415237
Mean,dp,0.16884681482450437
Median,dp,0.17806202342047933
Most Frequent,dp,0.19058723924599158
Mean,eo,0.1139057922019383
Median,eo,0.13222856018882767
Most Frequent,eo,0.17142614201245354
Mean,eqOdds,0.18280996816773282
Median,eqOdds,0.20633618675653362
Most Frequent,eqOdds,0.2575891275962874
Mean,accu,0.15218058968058967
Median,accu,0.15325552825552824
Most Frequent,accu,0.15939803439803435
Mean,dp,0.1795989070256202
Median,dp,0.17298465606773084
Most Frequent,dp,0.17933931929997904
Mean,eo,0.1245747995908561
Median,eo,0.1399913532209252
Most Frequent,eo,0.11965074689669686
Mean,eqOdds,0.19478570908458778
Median,eqOdds,0.21856712873214834
Most Frequent,eqOdds,0.1996820849998531
Mean,accu,0.1549447174447175
Median,accu,0.15832309582309578
Most Frequent,accu,0.15893734643734647
