pre_task,fair_metric,fair_value
One Hot,dp,0.18340806110266986
Ordinal,dp,0.1682541307422488
Target,dp,0.18662428794282682
LOO,dp,0.18241825345099905
WOE,dp,0.171787255749291
Count,dp,0.14574314574314576
One Hot,eo,0.13911134152663845
Ordinal,eo,0.23552913527338082
Target,eo,0.16814277201852013
LOO,eo,0.1755144147660737
WOE,eo,0.11502874595759971
Count,eo,0.18297407839147217
One Hot,eqOdds,0.2106393262433569
Ordinal,eqOdds,0.3084231127102206
Target,eqOdds,0.24668366617922868
LOO,eqOdds,0.2478859339322433
WOE,eqOdds,0.1990852792196048
Count,eqOdds,0.25720354295537967
One Hot,accu,0.15294840294840295
Ordinal,accu,0.16538697788697787
Target,accu,0.1543304668304668
LOO,accu,0.1544840294840295
WOE,accu,0.16047297297297303
Count,accu,0.20669533169533172
One Hot,dp,0.1747030507787889
Ordinal,dp,0.1744925107876128
Target,dp,0.16316848250284405
LOO,dp,0.15543431773977012
WOE,dp,0.1880137446670016
Count,dp,0.13185745652139574
One Hot,eo,0.09325667636682033
Ordinal,eo,0.2506455980243446
Target,eo,0.05153084104529332
LOO,eo,0.1225910190594206
WOE,eo,0.2052630109058411
Count,eo,0.09986999327100854
One Hot,eqOdds,0.16305410761139016
Ordinal,eqOdds,0.32657421718239654
Target,eqOdds,0.1250622903406377
LOO,eqOdds,0.17559610749497478
WOE,eqOdds,0.2811695151620608
Count,eqOdds,0.1715155230685303
One Hot,accu,0.1483415233415234
Ordinal,accu,0.1739864864864865
Target,accu,0.15340909090909094
LOO,accu,0.15648034398034394
WOE,accu,0.1512592137592138
Count,accu,0.20823095823095827
One Hot,dp,0.18759229816993755
Ordinal,dp,0.17829280931007774
Target,dp,0.19751715982715098
LOO,dp,0.1669207616865183
WOE,dp,0.188103720438124
Count,dp,0.13482508312851613
One Hot,eo,0.0742508112235159
Ordinal,eo,0.2625907677559316
Target,eo,0.1820376497182581
LOO,eo,0.07700181235972992
WOE,eo,0.22150757083810058
Count,eo,0.15764031526152378
One Hot,eqOdds,0.1691747777590784
Ordinal,eqOdds,0.33234705469760417
Target,eqOdds,0.2676362819941551
LOO,eqOdds,0.1422462804206363
WOE,eqOdds,0.2951957890299876
Count,eqOdds,0.2297564025357695
One Hot,accu,0.15648034398034394
Ordinal,accu,0.1773648648648649
Target,accu,0.15694103194103193
LOO,accu,0.15893734643734647
WOE,accu,0.15003071253071254
Count,accu,0.20347051597051602
One Hot,dp,0.17673258343393572
Ordinal,dp,0.17909288598943773
Target,dp,0.18777478080318566
LOO,dp,0.16576772843185195
WOE,dp,0.1778565422622566
Count,dp,0.12745048766733302
One Hot,eo,0.06785583149256597
Ordinal,eo,0.306834168373769
Target,eo,0.22153092006033182
LOO,eo,0.07736239967434033
WOE,eo,0.11863986100769419
Count,eo,0.08976789800588425
One Hot,eqOdds,0.14780563680749131
