pre_task,fair_metric,fair_value
Base,dp,0.16963979416809605
Under,dp,0.4466422466422467
Over,dp,0.4376805840446415
Base,eo,0.32172470978441126
Under,eo,0.008291873963515758
Over,eo,0.02751196172248803
Base,eqOdds,0.4290624902574252
Under,eqOdds,0.4082918739635158
Over,eqOdds,0.28591772952789196
Base,accu,0.1503067484662577
Under,accu,0.1907894736842105
Over,accu,0.16800000000000004
Base,dp,0.19267399267399268
Under,dp,0.5379125780553078
Over,dp,0.44901802528921175
Base,eo,0.0520547945205479
Under,eo,0.11780821917808221
Over,eo,0.03671497584541064
Base,eqOdds,0.11637911884487223
Under,eqOdds,0.3541718555417186
Over,eqOdds,0.26374200287243765
Base,accu,0.14417177914110424
Under,accu,0.1282051282051282
Over,accu,0.16532258064516125
Base,dp,0.1739254897149634
Under,dp,0.421832884097035
Over,dp,0.3921568627450981
Base,eo,0.175
Under,eo,0.10625000000000001
Over,eo,0.09622641509433963
Base,eqOdds,0.2573074444086368
Under,eqOdds,0.3860119047619048
Over,eqOdds,0.3613891608242784
Base,accu,0.1380368098159509
Under,accu,0.19594594594594594
Over,accu,0.18253968253968256
Base,dp,0.2108936806680793
Under,dp,0.38888888888888884
Over,dp,0.411637239165329
Base,eo,0.35238095238095235
Under,eo,0.3873015873015873
Over,eo,0.3178455848358761
Base,eqOdds,0.45156462585034013
Under,eqOdds,0.5105339105339105
Over,eqOdds,0.5028795984413184
Base,accu,0.18404907975460127
Under,accu,0.17307692307692313
Over,accu,0.155241935483871
Base,dp,0.1985661246959416
Under,dp,0.4348488696977394
Over,dp,0.4639079851930196
Base,eo,0.130952380952381
Under,eo,0.1884920634920635
Over,eo,0.06181818181818183
Base,eqOdds,0.23421768707482996
Under,eqOdds,0.48167388167388164
Over,eqOdds,0.3803896103896104
Base,accu,0.1901840490797546
Under,accu,0.2215189873417721
Over,accu,0.21255060728744934
Base,dp,0.15267209540337295
Under,dp,0.35691128794577065
Over,dp,0.39428624604504003
Base,eo,0.27058823529411763
Under,eo,0.03823529411764706
Over,eo,0.07890017931858936
Base,eqOdds,0.3349532827984666
Under,eqOdds,0.17854141656662667
Over,eqOdds,0.29956122575241784
Base,accu,0.16564417177914115
Under,accu,0.1917808219178082
Over,accu,0.23122529644268774
Base,dp,0.16014492753623188
Under,dp,0.5026833631484794
Over,dp,0.4547033639143731
Base,eo,0.0044444444444444176
Under,eo,0.11555555555555554
Over,eo,0.2181818181818182
Base,eqOdds,0.06028426646891605
Under,eqOdds,0.5044444444444445
Over,eqOdds,0.5012370647520814
Base,accu,0.16564417177914115
Under,accu,0.18452380952380953
Over,accu,0.21900826446280997
Base,dp,0.2397581702109669
Under,dp,0.509361639392599
Over,dp,0.46907677182947544
Base,eo,0.5291666666666666
Under,eo,0.5083333333333334
Over,eo,0.433941555768967
Base,eqOdds,0.5742415406225699
Under,eqOdds,0.6834663763909048
Over,eqOdds,0.6494581484395968
Base,accu,0.16257668711656437
Under,accu,0.1467391304347826
Over,accu,0.18162393162393164
Base,dp,0.20245103928871805
Under,dp,0.46385039238604103
Over,dp,0.41760280535790745
Base,eo,0.17252747252747258
Under,eo,0.17912087912087915
Over,eo,0.1571428571428571
Base,eqOdds,0.2536621273463379
Under,eqOdds,0.49946971633018145
Over,eqOdds,0.37484620642515376
Base,accu,0.1595092024539877
Under,accu,0.1987951807228916
Over,accu,0.18106995884773658
Base,dp,0.1645429833503228
Under,dp,0.35306654037414154
Over,dp,0.3405299704685131
Base,eo,0.16688396349413293
Under,eo,0.061277705345501976
Over,eo,0.05629099582587954
Base,eqOdds,0.2736697959999257
Under,eqOdds,0.36647251054030716
Over,eqOdds,0.31375541158225156
Base,accu,0.19938650306748462
Under,accu,0.20138888888888884
Over,accu,0.20669291338582674
Base,dp,0.20451559934318556
Under,dp,0.49793956043956045
Over,dp,0.4403960057305365
Base,eo,0.2419974391805378
Under,eo,0.20870678617157493
Over,eo,0.19195483415666903
Base,eqOdds,0.2972218310955772
Under,eqOdds,0.5013897130008432
Over,eqOdds,0.40079347752768646
Base,accu,0.1380368098159509
Under,accu,0.17682926829268297
Over,accu,0.180327868852459
Base,dp,0.1671195652173913
Under,dp,0.4467878001297859
Over,dp,0.396999557388124
Base,eo,0.07894736842105265
Under,eo,0.29135338345864664
Over,eo,0.27229518449030643
Base,eqOdds,0.15845322841471754
Under,eqOdds,0.5704482110448535
Over,eqOdds,0.5344111173379467
Base,accu,0.17484662576687116
Under,accu,0.1611111111111111
Over,accu,0.18644067796610164
Base,dp,0.14690547263681591
Under,dp,0.4111030478955007
Over,dp,0.38609467455621305
Base,eo,0.048958333333333326
Under,eo,0.22812500000000002
Over,eo,0.21403850313649145
Base,eqOdds,0.11106848595443486
Under,eqOdds,0.4835947554697555
Over,eqOdds,0.45876312158373767
Base,accu,0.1595092024539877
Under,accu,0.20253164556962022
Over,accu,0.21457489878542513
Base,dp,0.2160067043787974
Under,dp,0.35964912280701755
Over,dp,0.43294287411934473
Base,eo,0.06666666666666671
Under,eo,0.12857142857142856
Over,eo,0.1091703056768559
Base,eqOdds,0.1622331691297209
Under,eqOdds,0.19391233766233765
Over,eqOdds,0.3364281053484487
Base,accu,0.15644171779141103
Under,accu,0.125
Over,accu,0.15400000000000003
Base,dp,0.20994081787033325
Under,dp,0.5100529100529101
Over,dp,0.4205671840027547
Base,eo,0.04395604395604391
Under,eo,0.06593406593406592
Over,eo,0.06171218487394958
Base,eqOdds,0.12128315221399548
Under,eqOdds,0.41681125891652204
Over,eqOdds,0.2566348577656916
Base,accu,0.16871165644171782
Under,accu,0.1588235294117647
Over,accu,0.16182572614107882
Base,dp,0.18703703703703703
Under,dp,0.4364285714285714
Over,dp,0.37034987394699626
Base,eo,0.042643923240938186
Under,eo,0.08315565031982941
Over,eo,0.09843426203085426
Base,eqOdds,0.14632121630581513
Under,eqOdds,0.38871120587538494
Over,eqOdds,0.33864678999506004
Base,accu,0.13496932515337423
Under,accu,0.13580246913580252
Over,accu,0.13469387755102036
