pre_task,fair_metric,fair_value
Base,dp,0.26076435246995994
MaxAbs,dp,0.22763684913217622
MinMax,dp,0.2323097463284379
Normalizer,dp,0.08035714285714286
QuantileTransformer,dp,0.2420727636849132
Base,eo,0.08515535097813581
MaxAbs,eo,0.10011507479861909
MinMax,eo,0.11277330264672036
Normalizer,eo,0.7272727272727273
QuantileTransformer,eo,0.13808975834292286
Base,eqOdds,0.18387188929863452
MaxAbs,eqOdds,0.1766093908968956
MinMax,eqOdds,0.18926761874499687
Normalizer,eqOdds,0.7866786678667868
QuantileTransformer,eqOdds,0.21949789915700427
Base,accu,0.13496932515337423
MaxAbs,accu,0.14723926380368102
MinMax,accu,0.14417177914110424
Normalizer,accu,0.2331288343558282
QuantileTransformer,accu,0.14723926380368102
Base,dp,0.215048402509452
MaxAbs,dp,0.2051186173085712
MinMax,dp,0.20981345298932239
Normalizer,dp,0.07079646017699115
QuantileTransformer,dp,0.23744235323445095
Base,eo,0.19369369369369366
MaxAbs,eo,0.2364864864864865
MinMax,eo,0.2364864864864865
Normalizer,eo,0.75
QuantileTransformer,eo,0.3603603603603604
Base,eqOdds,0.3078756154829949
MaxAbs,eqOdds,0.3434741636714712
MinMax,eqOdds,0.3506684082757877
Normalizer,eqOdds,0.7995049504950495
QuantileTransformer,eqOdds,0.48173652675397816
Base,accu,0.2024539877300614
MaxAbs,accu,0.2116564417177914
MinMax,accu,0.21472392638036808
Normalizer,accu,0.26993865030674846
QuantileTransformer,accu,0.2116564417177914
Base,dp,0.14826680905976058
MaxAbs,dp,0.1715836781916077
MinMax,dp,0.1715836781916077
Normalizer,dp,0.09090909090909091
QuantileTransformer,dp,0.149557246473546
Base,eo,0.03939393939393937
MaxAbs,eo,0.06060606060606061
MinMax,eo,0.06060606060606061
Normalizer,eo,0.8
QuantileTransformer,eo,0.13030303030303025
Base,eqOdds,0.11008973114493385
MaxAbs,eqOdds,0.1499353927297259
MinMax,eqOdds,0.1499353927297259
Normalizer,eqOdds,0.8786516853932584
QuantileTransformer,eqOdds,0.18976286699784495
Base,accu,0.15337423312883436
MaxAbs,accu,0.16564417177914115
MinMax,accu,0.16564417177914115
Normalizer,accu,0.2331288343558282
QuantileTransformer,accu,0.16871165644171782
Base,dp,0.13397877647655687
MaxAbs,dp,0.14780366126918362
MinMax,dp,0.14319536633830804
Normalizer,dp,0.07339449541284404
QuantileTransformer,dp,0.15236967826491354
Base,eo,0.31217838765008576
MaxAbs,eo,0.2401372212692967
MinMax,eo,0.22126929674099483
Normalizer,eo,0.8181818181818182
QuantileTransformer,eo,0.22126929674099483
Base,eqOdds,0.34652383314535706
MaxAbs,eqOdds,0.29688187034844055
MinMax,eqOdds,0.27801394582013866
Normalizer,eqOdds,0.8794063079777366
QuantileTransformer,eqOdds,0.28821802745279174
Base,accu,0.1503067484662577
MaxAbs,accu,0.14723926380368102
MinMax,accu,0.1503067484662577
Normalizer,accu,0.2024539877300614
QuantileTransformer,accu,0.14723926380368102
