pre_task,fair_metric,fair_value
Base,dp,0.215048402509452
Variance FS,dp,0.2051186173085712
KBest FS,dp,0.2369022393950725
Base,eo,0.19369369369369366
Variance FS,eo,0.19369369369369366
KBest FS,eo,0.33333333333333337
Base,eqOdds,0.3078756154829949
Variance FS,eqOdds,0.2889996271647386
KBest FS,eqOdds,0.4646104898259611
Base,accu,0.2024539877300614
Variance FS,accu,0.18711656441717794
KBest FS,accu,0.21472392638036808
Base,dp,0.26076435246995994
Variance FS,dp,0.23739986648865152
KBest FS,dp,0.2178738317757009
Base,eo,0.08515535097813581
Variance FS,eo,0.05983889528193326
KBest FS,eo,0.12773302646720364
Base,eqOdds,0.18387188929863452
Variance FS,eqOdds,0.13633321138020976
KBest FS,eqOdds,0.21163474997288753
Base,accu,0.13496932515337423
Variance FS,accu,0.13190184049079756
KBest FS,accu,0.16871165644171782
Base,dp,0.14826680905976058
Variance FS,dp,0.18738041205001557
KBest FS,dp,0.10292350820985183
Base,eo,0.03939393939393937
Variance FS,eo,0.2757575757575757
KBest FS,eo,0.17575757575757578
Base,eqOdds,0.11008973114493385
Variance FS,eqOdds,0.35266454763279376
KBest FS,eqOdds,0.2414285925766141
Base,accu,0.15337423312883436
Variance FS,accu,0.16257668711656437
KBest FS,accu,0.18711656441717794
Base,dp,0.13397877647655687
Variance FS,dp,0.14319536633830804
KBest FS,dp,0.12932820361053565
Base,eo,0.31217838765008576
Variance FS,eo,0.20240137221269294
KBest FS,eo,0.2933104631217839
Base,eqOdds,0.34652383314535706
Variance FS,eqOdds,0.26524358226744654
KBest FS,eqOdds,0.32566486829848873
Base,accu,0.1503067484662577
Variance FS,accu,0.15644171779141103
KBest FS,accu,0.14417177914110424
