pre_task,fair_metric,fair_value
No Resampling,dp,0.18023673258243308
Undersampling,dp,0.39672916144728926
Oversampling,dp,0.37626218466265315
No Resampling,eo,0.14488178768777038
Undersampling,eo,0.21231863982593163
Oversampling,eo,0.14126309596458625
No Resampling,eqOdds,0.21500639931927318
Undersampling,eqOdds,0.44636031052509795
Oversampling,eqOdds,0.380217516538855
No Resampling,accu,0.14388820638820643
Undersampling,accu,0.18622448979591832
Oversampling,accu,0.17698220064724923
No Resampling,dp,0.17664775595321147
Undersampling,dp,0.3666845414344889
Oversampling,dp,0.3533448865130597
No Resampling,eo,0.1613622250547439
Undersampling,eo,0.1279761904761905
Oversampling,eo,0.11074240109274569
No Resampling,eqOdds,0.2309183962262873
Undersampling,eqOdds,0.37066952195284186
Oversampling,eqOdds,0.339064550800133
No Resampling,accu,0.14987714987714984
Undersampling,accu,0.18622448979591832
Oversampling,accu,0.18426375404530748
No Resampling,dp,0.1994903879943519
Undersampling,dp,0.3760596138599911
Oversampling,dp,0.36344206359086767
No Resampling,eo,0.11755919694240657
Undersampling,eo,0.1677451718083772
Oversampling,eo,0.1159206647011525
No Resampling,eqOdds,0.20948779884217258
Undersampling,eqOdds,0.38419629374632414
Oversampling,eqOdds,0.3179208690531514
No Resampling,accu,0.15402334152334152
Undersampling,accu,0.18399234693877553
Oversampling,accu,0.17566747572815533
No Resampling,dp,0.19983257914476554
Undersampling,dp,0.3821032944900014
Oversampling,dp,0.37827222813651273
No Resampling,eo,0.11811254593883813
Undersampling,eo,0.11938845003602577
Oversampling,eo,0.13281697548424437
No Resampling,eqOdds,0.208225067376156
Undersampling,eqOdds,0.3571017870275697
Oversampling,eqOdds,0.35535965368732636
No Resampling,accu,0.14649877149877155
Undersampling,accu,0.1830357142857143
Oversampling,accu,0.17435275080906154
No Resampling,dp,0.18398670620880475
Undersampling,dp,0.3625881292015084
Oversampling,dp,0.38297079874123124
No Resampling,eo,0.15633688068043122
Undersampling,eo,0.15593792924230612
Oversampling,eo,0.14179732647426352
No Resampling,eqOdds,0.23130150252034273
Undersampling,eqOdds,0.36650032954098577
Oversampling,eqOdds,0.3571533021872618
No Resampling,accu,0.15509828009828008
Undersampling,accu,0.1814413265306123
Oversampling,accu,0.1716221682847896
No Resampling,dp,0.1852717443459902
Undersampling,dp,0.3947534182148016
Oversampling,dp,0.36548590230925615
No Resampling,eo,0.1255662799389035
Undersampling,eo,0.14136904761904764
Oversampling,eo,0.1324614690108294
No Resampling,eqOdds,0.20738603762520025
Undersampling,eqOdds,0.3927877804014168
Oversampling,eqOdds,0.3536262663816799
No Resampling,accu,0.15356265356265353
Undersampling,accu,0.18207908163265307
Oversampling,accu,0.17839805825242716
No Resampling,dp,0.18282453617850283
Undersampling,dp,0.3627452343686829
Oversampling,dp,0.3791548123255759
No Resampling,eo,0.1439620624745785
Undersampling,eo,0.14083395245170877
Oversampling,eo,0.14251671914481584
No Resampling,eqOdds,0.2138327027234732
Undersampling,eqOdds,0.36668532150583477
Oversampling,eqOdds,0.3806157314241988
No Resampling,accu,0.14880221130221127
Undersampling,accu,0.18399234693877553
Oversampling,accu,0.1755663430420712
