pre_task,fair_metric,fair_value
No Scaling,dp,0.18617558877794663
MaxAbs,dp,0.18311247694117205
MinMax,dp,0.18248780933578357
Normalizer,dp,0.06713286713286713
QuantileTransformer,dp,0.18180715790363972
No Scaling,eo,0.13453691561709002
MaxAbs,eo,0.15719914287689224
MinMax,eo,0.12088025966623861
Normalizer,eo,0.729957805907173
QuantileTransformer,eo,0.12930547713156404
No Scaling,eqOdds,0.20944723179743524
MaxAbs,eqOdds,0.23111883851448764
MinMax,eqOdds,0.19222566628605983
Normalizer,eqOdds,0.7718865270811771
QuantileTransformer,eqOdds,0.2174402468483306
No Scaling,accu,0.15264127764127766
MaxAbs,accu,0.1448095823095823
MinMax,accu,0.14603808353808356
Normalizer,accu,0.21652334152334152
QuantileTransformer,accu,0.15863022113022118
No Scaling,dp,0.17123957308667534
MaxAbs,dp,0.19201085995908954
MinMax,dp,0.1756007393715342
Normalizer,dp,0.07159353348729793
QuantileTransformer,dp,0.1911045144555558
No Scaling,eo,0.0801550307743813
MaxAbs,eo,0.1768437151345727
MinMax,eo,0.11682770054493324
Normalizer,eo,0.7222222222222222
QuantileTransformer,eo,0.17226620864926756
No Scaling,eqOdds,0.14843999163563482
MaxAbs,eqOdds,0.2597487486050235
MinMax,eqOdds,0.19030744625792903
Normalizer,eqOdds,0.7666550502410409
QuantileTransformer,eqOdds,0.25064798774690517
No Scaling,accu,0.14864864864864868
MaxAbs,accu,0.15525184275184278
MinMax,accu,0.14941646191646196
Normalizer,accu,0.21544840294840295
QuantileTransformer,accu,0.14742014742014742
No Scaling,dp,0.18839179165268394
MaxAbs,dp,0.1983263162302701
MinMax,dp,0.20428748441878702
Normalizer,dp,0.06401869158878505
QuantileTransformer,dp,0.19114612187577468
No Scaling,eo,0.09655945791181525
MaxAbs,eo,0.14314304655961807
MinMax,eo,0.16094129782342714
Normalizer,eo,0.7705627705627706
QuantileTransformer,eo,0.19385262376696866
No Scaling,eqOdds,0.1902345656112062
MaxAbs,eqOdds,0.22961715468460575
MinMax,eqOdds,0.25347956604043587
Normalizer,eqOdds,0.8145648659006438
QuantileTransformer,eqOdds,0.2710996125527917
No Scaling,accu,0.15740171990171992
MaxAbs,accu,0.16001228501228504
MinMax,accu,0.15417690417690422
Normalizer,accu,0.2200552825552825
QuantileTransformer,accu,0.14910933660933656
No Scaling,dp,0.17830818603090304
MaxAbs,dp,0.19178316247281765
MinMax,dp,0.18254966068137107
Normalizer,dp,0.06090190609019061
QuantileTransformer,dp,0.20523356005294746
No Scaling,eo,0.07969891069315815
MaxAbs,eo,0.15430207426159742
MinMax,eo,0.13776664511958636
Normalizer,eo,0.7831325301204819
QuantileTransformer,eo,0.18888061553735425
No Scaling,eqOdds,0.1570665383487878
MaxAbs,eqOdds,0.22946136213046414
MinMax,eqOdds,0.20609060309716412
Normalizer,eqOdds,0.823616231487464
QuantileTransformer,eqOdds,0.2793272445155182
No Scaling,accu,0.14726658476658472
MaxAbs,accu,0.14235257985257987
MinMax,accu,0.14511670761670759
Normalizer,accu,0.21821253071253066
QuantileTransformer,accu,0.15648034398034394
No Scaling,dp,0.17224352587221278
MaxAbs,dp,0.18707054552847419
MinMax,dp,0.19509135783637302
Normalizer,dp,0.09136363636363637
QuantileTransformer,dp,0.19927767021048923
No Scaling,eo,0.11469940316094163
MaxAbs,eo,0.10961835035145528
MinMax,eo,0.17432491289198604
Normalizer,eo,0.6437246963562753
QuantileTransformer,eo,0.14978515032886497
No Scaling,eqOdds,0.17387263074299755
MaxAbs,eqOdds,0.19091899288341346
MinMax,eqOdds,0.25150500691560373
Normalizer,eqOdds,0.7015843993772686
QuantileTransformer,eqOdds,0.23704183756256897
No Scaling,accu,0.1448095823095823
MaxAbs,accu,0.15371621621621623
MinMax,accu,0.14634520884520885
Normalizer,accu,0.21821253071253066
QuantileTransformer,accu,0.15018427518427513
No Scaling,dp,0.17566334886420065
MaxAbs,dp,0.1839292835588539
MinMax,dp,0.1860674347365277
Normalizer,dp,0.0827617741197988
QuantileTransformer,dp,0.18905580351200985
No Scaling,eo,0.10060094181216783
MaxAbs,eo,0.13930877865304098
MinMax,eo,0.1421296296296296
Normalizer,eo,0.7068965517241379
QuantileTransformer,eo,0.16844660518801363
No Scaling,eqOdds,0.17515250040361735
MaxAbs,eqOdds,0.21334585646329673
MinMax,eqOdds,0.2217643810473155
Normalizer,eqOdds,0.7646970632330893
QuantileTransformer,eqOdds,0.2437484457824074
No Scaling,accu,0.1549447174447175
MaxAbs,accu,0.15310196560196565
MinMax,accu,0.14926289926289926
Normalizer,accu,0.22251228501228504
QuantileTransformer,accu,0.15003071253071254
No Scaling,dp,0.16693316004138486
MaxAbs,dp,0.18843479379523742
MinMax,dp,0.17161603962803854
Normalizer,dp,0.076993583868011
QuantileTransformer,dp,0.17817606209150327
No Scaling,eo,0.06412804497377633
MaxAbs,eo,0.18982545656621785
MinMax,eo,0.12389591078066914
Normalizer,eo,0.6910569105691057
QuantileTransformer,eo,0.09228675197261588
No Scaling,eqOdds,0.13722299913142694
MaxAbs,eqOdds,0.2704232586144639
MinMax,eqOdds,0.18935004740507025
Normalizer,eqOdds,0.7385775717261305
QuantileTransformer,eqOdds,0.16318817879105207
No Scaling,accu,0.15079852579852582
MaxAbs,accu,0.15202702702702697
MinMax,accu,0.14573095823095827
Normalizer,accu,0.2205159705159705
QuantileTransformer,accu,0.1509520884520884
No Scaling,dp,0.18404853021573658
MaxAbs,dp,0.1916917080487331
MinMax,dp,0.171411612783489
Normalizer,dp,0.0924092409240924
QuantileTransformer,dp,0.19524101307189543
No Scaling,eo,0.15452413106830615
MaxAbs,eo,0.1575146097192141
MinMax,eo,0.09695821243165353
Normalizer,eo,0.7016129032258065
QuantileTransformer,eo,0.1607775040288088
No Scaling,eqOdds,0.23728680359086773
