pre_task,fair_metric,fair_value
No Selection,dp,0.18617558877794663
Variance Threshold,dp,0.17928664395080507
K Best,dp,0.1792721627475604
No Selection,eo,0.13453691561709002
Variance Threshold,eo,0.1606068984585608
K Best,eo,0.1408400661749194
No Selection,eqOdds,0.20944723179743524
Variance Threshold,eqOdds,0.2350176715359002
K Best,eqOdds,0.21348840439083183
No Selection,accu,0.15264127764127766
Variance Threshold,accu,0.14864864864864868
K Best,accu,0.15417690417690422
No Selection,dp,0.17123957308667534
Variance Threshold,dp,0.19180499995148792
K Best,dp,0.1668653401738237
No Selection,eo,0.0801550307743813
Variance Threshold,eo,0.13948991488134782
K Best,eo,0.08119640697405794
No Selection,eqOdds,0.14843999163563482
Variance Threshold,eqOdds,0.22979006373385052
K Best,eqOdds,0.15701768289681484
No Selection,accu,0.14864864864864868
Variance Threshold,accu,0.1577088452088452
K Best,accu,0.15678746928746934
No Selection,dp,0.18839179165268394
Variance Threshold,dp,0.20390558179088658
K Best,dp,0.19336632998378017
No Selection,eo,0.09655945791181525
Variance Threshold,eo,0.1419883157426226
K Best,eo,0.1601978503119187
No Selection,eqOdds,0.1902345656112062
Variance Threshold,eqOdds,0.23974923894332928
K Best,eqOdds,0.24901641563811713
No Selection,accu,0.15740171990171992
Variance Threshold,accu,0.1647727272727273
K Best,accu,0.16246928746928746
No Selection,dp,0.17830818603090304
Variance Threshold,dp,0.19551102826964895
K Best,dp,0.1788164934973422
No Selection,eo,0.07969891069315815
Variance Threshold,eo,0.17204066018144054
K Best,eo,0.1581555699202758
No Selection,eqOdds,0.1570665383487878
Variance Threshold,eqOdds,0.254714806416025
K Best,eqOdds,0.2264351142876856
No Selection,accu,0.14726658476658472
Variance Threshold,accu,0.1481879606879607
K Best,accu,0.15018427518427513
No Selection,dp,0.17224352587221278
Variance Threshold,dp,0.18338327332364135
K Best,dp,0.19481546240611367
No Selection,eo,0.11469940316094163
Variance Threshold,eo,0.11425788542393794
K Best,eo,0.16724738675958195
No Selection,eqOdds,0.17387263074299755
Variance Threshold,eqOdds,0.19467131685809183
K Best,eqOdds,0.2561923195650504
No Selection,accu,0.1448095823095823
Variance Threshold,accu,0.15555896805896807
K Best,accu,0.15571253071253066
No Selection,dp,0.17566334886420065
Variance Threshold,dp,0.1927664928611795
K Best,dp,0.18829150709262032
No Selection,eo,0.10060094181216783
Variance Threshold,eo,0.16588602654176426
K Best,eo,0.17191358024691356
No Selection,eqOdds,0.17515250040361735
Variance Threshold,eqOdds,0.2478319903957307
K Best,eqOdds,0.2573810092074683
No Selection,accu,0.1549447174447175
Variance Threshold,accu,0.15386977886977882
K Best,accu,0.15863022113022118
No Selection,dp,0.16693316004138486
Variance Threshold,dp,0.1835488140941006
K Best,dp,0.1725297700209072
No Selection,eo,0.06412804497377633
Variance Threshold,eo,0.20538533431003564
K Best,eo,0.13277323420074344
No Selection,eqOdds,0.13722299913142694
Variance Threshold,eqOdds,0.28363207651002886
K Best,eqOdds,0.20947914494706382
No Selection,accu,0.15079852579852582
Variance Threshold,accu,0.15832309582309578
K Best,accu,0.1610872235872236
No Selection,dp,0.18404853021573658
Variance Threshold,dp,0.18885960944044333
K Best,dp,0.1900559203074414
No Selection,eo,0.15452413106830615
Variance Threshold,eo,0.17773202492045248
K Best,eo,0.2040326878664061
No Selection,eqOdds,0.23728680359086773
Variance Threshold,eqOdds,0.26171951082454326
K Best,eqOdds,0.2921543824789127
No Selection,accu,0.15003071253071254
Variance Threshold,accu,0.15601965601965606
K Best,accu,0.1580159705159705
No Selection,dp,0.20314910331423758
Variance Threshold,dp,0.18136034493674785
K Best,dp,0.18114904224186773
No Selection,eo,0.19667359667359668
Variance Threshold,eo,0.18598043782021428
K Best,eo,0.1454375167246454
No Selection,eqOdds,0.28304684921790413
Variance Threshold,eqOdds,0.25480922723201116
K Best,eqOdds,0.2255201012542848
No Selection,accu,0.14987714987714984
Variance Threshold,accu,0.1514127764127764
K Best,accu,0.1543304668304668
No Selection,dp,0.1821631170962043
Variance Threshold,dp,0.18238421520180018
K Best,dp,0.18135102133177367
No Selection,eo,0.17379014937836607
