pipe,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"count_enc,mean_imp,k_best_sel,max_abs_scale,no_samp",0.9037024362781362,0.05096132109921572,0.8262786943339774,1.644417345805962,0.19191919191919202,0.23853211009174305,0.2719298245614038,0.2556053811659193,0.20700316364682209
"count_enc,mean_imp,k_best_sel,max_abs_scale,over_samp",0.8129524313100359,0.17518216017085772,0.6233606695264601,1.4649108535245612,0.212189776867031,0.21803792913609313,0.20175887978142074,0.2100181469824955,0.21218977686703094
"count_enc,mean_imp,k_best_sel,max_abs_scale,under_samp",0.824951102695083,0.16926240495175235,0.6441250442965706,1.5191719012970017,0.21623720760233928,0.22055509950870805,0.20824195906432763,0.21453029237110982,0.21623720760233928
"count_enc,mean_imp,k_best_sel,min_max_scale,no_samp",0.8889489893916489,0.056993301793994984,0.7993463794936415,1.60300259981653,0.19191919191919202,0.23853211009174305,0.2719298245614038,0.2556053811659193,0.20700316364682209
"count_enc,mean_imp,k_best_sel,min_max_scale,over_samp",0.8101615800413066,0.1776431891203648,0.6233893523821747,1.455910274746847,0.21294398907103831,0.21900883734159002,0.2021288706739527,0.21069071010438406,0.21294398907103826
"count_enc,mean_imp,k_best_sel,min_max_scale,under_samp",0.8178364981816947,0.17425564604922228,0.6356373292121117,1.4963920331247351,0.21708241959064326,0.22295432821608205,0.20614035087719304,0.21474416972286053,0.2170824195906432
"count_enc,mean_imp,k_best_sel,no_samp,max_abs_scale",0.9037024362781362,0.05096132109921572,0.8262786943339774,1.644417345805962,0.19191919191919202,0.23853211009174305,0.2719298245614038,0.2556053811659193,0.20700316364682209
"count_enc,mean_imp,k_best_sel,no_samp,min_max_scale",0.8889489893916489,0.056993301793994984,0.7993463794936415,1.60300259981653,0.19191919191919202,0.23853211009174305,0.2719298245614038,0.2556053811659193,0.20700316364682209
"count_enc,mean_imp,k_best_sel,no_samp,no_scale",0.8473103798474427,0.08256738182035496,0.7357168169468835,1.4750330562631244,0.1907968574635243,0.24251497005987988,0.26023391812865515,0.2514792899408285,0.20388745086760623
"count_enc,mean_imp,k_best_sel,no_samp,norm_scale",0.11785095320623908,-1.0,0.7247706422018345,0.8059672233984168,0.2828282828282834,0.272727272727273,0.5789473684210525,0.46666666666666595,0.33865401207937873
"count_enc,mean_imp,k_best_sel,no_samp,quant_scale",0.8646414023777714,0.06380206777027424,0.7858802220734732,1.5235345430611282,0.18855218855218855,0.23148148148148132,0.2719298245614038,0.2522522522522519,0.2042709232096632
"count_enc,mean_imp,k_best_sel,no_scale,no_samp",0.8473103798474427,0.08256738182035496,0.7357168169468835,1.4750330562631244,0.1907968574635243,0.24251497005987988,0.26023391812865515,0.2514792899408285,0.20388745086760623
"count_enc,mean_imp,k_best_sel,no_scale,over_samp",0.7888294302386193,0.18974433108514172,0.6004406496522247,1.3792979324157575,0.21039674408014575,0.21699483136909756,0.1987420309653916,0.20799532429781764,0.2103967440801457
"count_enc,mean_imp,k_best_sel,no_scale,under_samp",0.7907016956201163,0.18924372588402644,0.6127470764263496,1.4001148501295149,0.21539199561403516,0.2217566404250614,0.2036732456140353,0.21287437801596445,0.2153919956140351
"count_enc,mean_imp,k_best_sel,norm_scale,no_samp",0.11785095320623908,-1.0,0.7247706422018345,0.8059672233984168,0.2828282828282834,0.272727272727273,0.5789473684210525,0.46666666666666595,0.33865401207937873
